Name,Age,Academy
Andoni Zubizarreta,26,0
Gerardo Miranda,31,0
Julio Alberto,29,0
Josep Moratalla,29,1
Miguel Bernardo,36,0
Víctor Muñoz,30,0
Roberto Fernández,25,0
Urbano Ortega,26,0
Bernhard Schuster,28,0
Gary Lineker,27,0
Francisco Carrasco,28,1
Calderé del Rey,28,1
Cristóbal,20,1
Salvador García,26,1
José Ramón,31,0
José Manuel,27,1
Francisco Javier,27,1
Ángel Pedraza,25,1
López Francisco,22,1
Raúl Vicente,27,0
Mohamed Ali Amar,21,1
David Linde,18,1
