Name,Age,Academy
Andoni Zubizarreta,30,0
Ronald Koeman,28,0
Juan Carlos,26,0
Fernando Muñoz García,24,0
Michael Laudrup,27,0
Guillermo Amor,24,1
José María,28,0
Eusebio Sacristán,27,0
Josep Guardiola,20,1
Hristo Stoichkov,25,0
Aitor Begiristain,27,0
Carles Busquets,24,1
Andoni Goikoetxea,26,0
Miquel Àngel Nadal,25,0
Richard Peter,22,0
Ricardo Jesús,27,0
Albert Ferrer,21,1
Julio Salinas Fernández,29,0
Cristóbal Parralo,24,1
José Ramón,35,0
Antonio Pinilla,20,1
