Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
32,Sun,2016-04-10,16:00 (19:30),Valencia,2–1,Sevilla,41569,Estadio de Mestalla,Iñaki Bikandi,Match Report,
32,Sun,2016-04-10,18:15 (21:45),Villarreal,2–0,Getafe,17570,Estadio de la Cerámica,Alberto Undiano,Match Report,
32,Sun,2016-04-10,20:30 (00:00),Athletic Club,1–0,Rayo Vallecano,37597,San Mamés,Jesús Gil,Match Report,
32,Mon,2016-04-11,20:30 (00:00),La Coruña,1–3,Las Palmas,21686,Estadio Municipal de Riazor,Alfonso Álvarez,Match Report,
33,Fri,2016-04-15,20:30 (00:00),Levante,2–1,Espanyol,16192,Estadio Ciudad de Valencia,Alejandro Hernández,Match Report,
33,Sat,2016-04-16,16:00 (19:30),Getafe,1–5,Real Madrid,11401,Coliseum Alfonso Pérez,José González,Match Report,
33,Sat,2016-04-16,17:15 (21:45),Las Palmas,1–1,Sporting Gijón,25052,Estadio de Gran Canaria,Alberto Undiano,Match Report,
33,Sat,2016-04-16,20:30 (00:00),Eibar,2–1,Real Sociedad,5801,Estadio Municipal de Ipurúa,Mario Melero,Match Report,
33,Sat,2016-04-16,22:05 (01:35),Celta Vigo,1–1,Betis,14934,Estadio de Balaídos,Ricardo de Burgos,Match Report,
33,Sun,2016-04-17,12:00 (15:30),Málaga,0–1,Athletic Club,25052,Estadio La Rosaleda,José Sánchez,Match Report,
33,Sun,2016-04-17,16:00 (19:30),Sevilla,1–1,La Coruña,30390,Estadio Ramón Sánchez Pizjuán,Santiago Jaime,Match Report,
33,Sun,2016-04-17,18:15 (21:45),Rayo Vallecano,2–1,Villarreal,12628,Estadio del Rayo Vallecano,Ignacio Iglesias,Match Report,
33,Sun,2016-04-17,18:15 (21:45),Atlético Madrid,3–0,Granada,51136,Estadio Vicente Calderón,Eduardo Prieto,Match Report,
33,Sun,2016-04-17,20:30 (00:00),Barcelona,1–2,Valencia,88667,Camp Nou,David Fernández,Match Report,
34,Tue,2016-04-19,20:00 (23:30),Espanyol,1–1,Celta Vigo,14227,RCDE Stadium,Eduardo Prieto,Match Report,
34,Tue,2016-04-19,21:00 (00:30),Betis,1–0,Las Palmas,30634,Estadio Benito Villamarín,Iñaki Bikandi,Match Report,
34,Wed,2016-04-20,20:00 (23:30),La Coruña,0–8,Barcelona,28956,Estadio Municipal de Riazor,Ricardo de Burgos,Match Report,
34,Wed,2016-04-20,20:45 (00:15),Sporting Gijón,2–1,Sevilla,22985,Estadio Municipal El Molinón,José González,Match Report,
34,Wed,2016-04-20,20:45 (00:15),Málaga,1–1,Rayo Vallecano,13759,Estadio La Rosaleda,Alberto Undiano,Match Report,
34,Wed,2016-04-20,20:45 (00:15),Athletic Club,0–1,Atlético Madrid,44474,San Mamés,Juan Martínez,Match Report,
34,Wed,2016-04-20,20:45 (00:15),Valencia,4–0,Eibar,34309,Estadio de Mestalla,Javier Estrada,Match Report,
34,Wed,2016-04-20,22:00 (01:30),Real Madrid,3–0,Villarreal,62678,Estadio Santiago Bernabéu,Carlos Clos Gómez,Match Report,
34,Thu,2016-04-21,20:30 (00:00),Real Sociedad,1–2,Getafe,14334,Estadio Municipal de Anoeta,José Sánchez,Match Report,
34,Thu,2016-04-21,21:00 (00:30),Granada,5–1,Levante,21131,Estadio Nuevo Los Cármenes,Santiago Jaime,Match Report,
35,Fri,2016-04-22,20:00 (00:30),Las Palmas,4–0,Espanyol,19358,Estadio de Gran Canaria,Mario Melero,Match Report,
35,Sat,2016-04-23,16:00 (19:30),Rayo Vallecano,2–3,Real Madrid,13314,Estadio del Rayo Vallecano,Alejandro Hernández,Match Report,
35,Sat,2016-04-23,18:15 (21:45),Atlético Madrid,1–0,Málaga,47621,Estadio Vicente Calderón,Antonio Matéu Lahoz,Match Report,
35,Sat,2016-04-23,20:30 (00:00),Barcelona,6–0,Sporting Gijón,77299,Camp Nou,Carlos Clos Gómez,Match Report,
35,Sat,2016-04-23,22:05 (01:35),Eibar,1–1,La Coruña,4606,Estadio Municipal de Ipurúa,Eduardo Prieto,Match Report,
35,Sun,2016-04-24,12:00 (15:30),Levante,2–2,Athletic Club,15263,Estadio Ciudad de Valencia,Ignacio Iglesias,Match Report,
35,Sun,2016-04-24,16:00 (19:30),Sevilla,2–0,Betis,39523,Estadio Ramón Sánchez Pizjuán,Carlos Velasco,Match Report,
35,Sun,2016-04-24,18:15 (21:45),Getafe,2–2,Valencia,11637,Coliseum Alfonso Pérez,Ricardo de Burgos,Match Report,
35,Sun,2016-04-24,20:30 (00:00),Villarreal,0–0,Real Sociedad,17216,Estadio de la Cerámica,David Fernández,Match Report,
35,Mon,2016-04-25,20:30 (00:00),Celta Vigo,2–1,Granada,18224,Estadio de Balaídos,Jesús Gil,Match Report,
36,Fri,2016-04-29,20:30 (00:00),Sporting Gijón,2–0,Eibar,26035,Estadio Municipal El Molinón,Alejandro Hernández,Match Report,
36,Sat,2016-04-30,16:00 (19:30),Real Sociedad,0–1,Real Madrid,26426,Estadio Municipal de Anoeta,Alberto Undiano,Match Report,
36,Sat,2016-04-30,18:15 (21:45),Atlético Madrid,1–0,Rayo Vallecano,49263,Estadio Vicente Calderón,José Sánchez,Match Report,
36,Sat,2016-04-30,20:30 (00:00),Betis,0–2,Barcelona,40467,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
36,Sat,2016-04-30,22:05 (01:35),Granada,3–2,Las Palmas,21291,Estadio Nuevo Los Cármenes,José González,Match Report,
36,Sun,2016-05-01,12:00 (15:30),Athletic Club,2–1,Celta Vigo,42362,San Mamés,Javier Estrada,Match Report,
36,Sun,2016-05-01,16:00 (19:30),Espanyol,1–0,Sevilla,27654,RCDE Stadium,Juan Martínez,Match Report,
36,Sun,2016-05-01,18:15 (21:45),La Coruña,0–2,Getafe,25007,Estadio Municipal de Riazor,Carlos Clos Gómez,Match Report,
36,Sun,2016-05-01,20:30 (00:00),Valencia,0–2,Villarreal,38283,Estadio de Mestalla,Carlos del Cerro,Match Report,
36,Mon,2016-05-02,20:30 (00:00),Málaga,3–1,Levante,17562,Estadio La Rosaleda,Iñaki Bikandi,Match Report,
37,Sun,2016-05-08,16:00 (20:30),Las Palmas,0–0,Athletic Club,27410,Estadio de Gran Canaria,Pedro Pérez,Match Report,
37,Sun,2016-05-08,17:00 (20:30),Sevilla,1–4,Granada,21915,Estadio Ramón Sánchez Pizjuán,Alberto Undiano,Match Report,
37,Sun,2016-05-08,17:00 (20:30),Celta Vigo,1–0,Málaga,20040,Estadio de Balaídos,Carlos del Cerro,Match Report,
37,Sun,2016-05-08,17:00 (20:30),Levante,2–1,Atlético Madrid,12054,Estadio Ciudad de Valencia,José González,Match Report,
37,Sun,2016-05-08,17:00 (20:30),Getafe,1–1,Sporting Gijón,13028,Coliseum Alfonso Pérez,Alfonso Álvarez,Match Report,
37,Sun,2016-05-08,17:00 (20:30),Real Sociedad,2–1,Rayo Vallecano,18873,Estadio Municipal de Anoeta,Santiago Jaime,Match Report,
37,Sun,2016-05-08,17:00 (20:30),Real Madrid,3–2,Valencia,72987,Estadio Santiago Bernabéu,David Fernández,Match Report,
37,Sun,2016-05-08,17:00 (20:30),Eibar,1–1,Betis,5165,Estadio Municipal de Ipurúa,Juan Martínez,Match Report,
37,Sun,2016-05-08,17:00 (20:30),Villarreal,0–2,La Coruña,13247,Estadio de la Cerámica,Javier Estrada,Match Report,
37,Sun,2016-05-08,17:00 (20:30),Barcelona,5–0,Espanyol,91610,Camp Nou,Jesús Gil,Match Report,
38,Fri,2016-05-13,20:30 (00:00),Valencia,0–1,Real Sociedad,27732,Estadio de Mestalla,Carlos Velasco,Match Report,
38,Sat,2016-05-14,17:00 (20:30),La Coruña,0–2,Real Madrid,29017,Estadio Municipal de Riazor,Antonio Matéu Lahoz,Match Report,
38,Sat,2016-05-14,17:00 (20:30),Granada,0–3,Barcelona,21692,Estadio Nuevo Los Cármenes,Alejandro Hernández,Match Report,
38,Sat,2016-05-14,19:30 (23:00),Athletic Club,3–1,Sevilla,43876,San Mamés,Alfonso Álvarez,Match Report,
38,Sat,2016-05-14,19:30 (23:00),Atlético Madrid,2–0,Celta Vigo,42139,Estadio Vicente Calderón,David Fernández,Match Report,
38,Sun,2016-05-15,12:00 (15:30),Málaga,4–1,Las Palmas,17913,Estadio La Rosaleda,Ricardo de Burgos,Match Report,
38,Sun,2016-05-15,19:00 (22:30),Espanyol,4–2,Eibar,39381,RCDE Stadium,Mario Melero,Match Report,
38,Sun,2016-05-15,19:30 (23:00),Rayo Vallecano,3–1,Levante,12547,Estadio del Rayo Vallecano,Carlos Clos Gómez,Match Report,
38,Sun,2016-05-15,19:30 (23:00),Betis,2–1,Getafe,39381,Estadio Benito Villamarín,Jesús Gil,Match Report,
38,Sun,2016-05-15,19:30 (23:00),Sporting Gijón,2–0,Villarreal,27834,Estadio Municipal El Molinón,Alberto Undiano,Match Report,
