 
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
24,Sat,2015-02-21,20:00 (00:30),Atlético Madrid,3–0,Almería,44000,Estadio Vicente Calderón,Antonio Matéu Lahoz,Match Report,
24,Sat,2015-02-21,22:00 (02:30),La Coruña,0–2,Celta Vigo,30334,Estadio Municipal de Riazor,Pedro Pérez,Match Report,
24,Sun,2015-02-22,12:00 (16:30),Real Sociedad,4–3,Sevilla,21378,Estadio Municipal de Anoeta,Fernando Teixeira,Match Report,
24,Sun,2015-02-22,17:00 (21:30),Athletic Club,1–0,Rayo Vallecano,40413,San Mamés,David Fernández,Match Report,
24,Sun,2015-02-22,19:00 (23:30),Villarreal,1–0,Eibar,13980,Estadio de la Cerámica,Mario Melero,Match Report,
24,Sun,2015-02-22,21:00 (01:30),Elche,0–2,Real Madrid,31512,Estadio Manuel Martínez Valero,Ignacio Iglesias,Match Report,
24,Mon,2015-02-23,20:45 (01:15),Levante,2–1,Granada,12117,Estadio Ciudad de Valencia,Alfonso Álvarez,Match Report,
25,Fri,2015-02-27,20:45 (01:15),Espanyol,1–0,Córdoba,17128,RCDE Stadium,Carlos del Cerro,Match Report,
25,Sat,2015-02-28,16:00 (20:30),Granada,1–3,Barcelona,18119,Estadio Nuevo Los Cármenes,Santiago Jaime,Match Report,
25,Sat,2015-02-28,18:00 (22:30),Rayo Vallecano,4–2,Levante,10512,Estadio del Rayo Vallecano,Iñaki Bikandi,Match Report,
25,Sat,2015-02-28,20:00 (00:30),Almería,0–0,La Coruña,8979,Estadio de los Juegos Mediterráneos,Jesús Gil,Match Report,
25,Sat,2015-02-28,22:00 (02:30),Málaga,3–2,Getafe,19939,Estadio La Rosaleda,Eduardo Prieto,Match Report,
25,Sun,2015-03-01,12:00 (16:30),Valencia,2–0,Real Sociedad,47007,Estadio de Mestalla,Javier Estrada,Match Report,
25,Sun,2015-03-01,17:00 (21:30),Eibar,0–1,Athletic Club,5226,Estadio Municipal de Ipurúa,Fernando Teixeira,Match Report,
25,Sun,2015-03-01,19:00 (23:30),Sevilla,0–0,Atlético Madrid,35984,Estadio Ramón Sánchez Pizjuán,Carlos Clos Gómez,Match Report,
25,Sun,2015-03-01,21:00 (01:30),Real Madrid,1–1,Villarreal,75108,Estadio Santiago Bernabéu,José González,Match Report,
25,Mon,2015-03-02,20:45 (01:15),Celta Vigo,1–1,Elche,14386,Estadio de Balaídos,Carlos Velasco,Match Report,
26,Fri,2015-03-06,20:45 (01:15),Levante,2–1,Eibar,16922,Estadio Ciudad de Valencia,David Fernández,Match Report,
26,Sat,2015-03-07,16:00 (20:30),La Coruña,3–4,Sevilla,21555,Estadio Municipal de Riazor,José Teixeira,Match Report,
26,Sat,2015-03-07,18:00 (22:30),Athletic Club,1–0,Real Madrid,48437,San Mamés,Alberto Undiano,Match Report,
26,Sat,2015-03-07,20:00 (00:30),Elche,1–0,Almería,23127,Estadio Manuel Martínez Valero,Carlos del Cerro,Match Report,
26,Sat,2015-03-07,22:00 (02:30),Granada,1–0,Málaga,16374,Estadio Nuevo Los Cármenes,Antonio Matéu Lahoz,Match Report,
26,Sun,2015-03-08,12:00 (16:30),Barcelona,6–1,Rayo Vallecano,87151,Camp Nou,Jesús Gil,Match Report,
26,Sun,2015-03-08,17:00 (21:30),Real Sociedad,1–0,Espanyol,23329,Estadio Municipal de Anoeta,Eduardo Prieto,Match Report,
26,Sun,2015-03-08,19:00 (23:30),Villarreal,4–1,Celta Vigo,14366,Estadio de la Cerámica,Carlos Clos Gómez,Match Report,
26,Sun,2015-03-08,21:00 (01:30),Atlético Madrid,1–1,Valencia,51180,Estadio Vicente Calderón,Santiago Jaime,Match Report,
26,Mon,2015-03-09,20:45 (01:15),Córdoba,1–2,Getafe,15183,Estadio Nuevo Arcángel,Alfonso Álvarez,Match Report,
27,Fri,2015-03-13,20:45 (01:15),Valencia,2–0,La Coruña,40247,Estadio de Mestalla,Alfonso Álvarez,Match Report,
27,Sat,2015-03-14,16:00 (20:30),Espanyol,0–0,Atlético Madrid,22538,RCDE Stadium,Iñaki Bikandi,Match Report,
27,Sat,2015-03-14,18:00 (22:30),Eibar,0–2,Barcelona,5439,Estadio Municipal de Ipurúa,Carlos del Cerro,Match Report,
27,Sat,2015-03-14,20:00 (00:30),Rayo Vallecano,3–1,Granada,10952,Estadio del Rayo Vallecano,Alejandro Hernández,Match Report,
27,Sat,2015-03-14,22:00 (02:30),Celta Vigo,1–2,Athletic Club,18656,Estadio de Balaídos,Antonio Matéu Lahoz,Match Report,
27,Sun,2015-03-15,12:00 (16:30),Almería,0–0,Villarreal,9479,Estadio de los Juegos Mediterráneos,Alberto Undiano,Match Report,
27,Sun,2015-03-15,17:00 (21:30),Málaga,2–0,Córdoba,24547,Estadio La Rosaleda,José González,Match Report,
27,Sun,2015-03-15,19:00 (23:30),Sevilla,3–0,Elche,31324,Estadio Ramón Sánchez Pizjuán,Javier Estrada,Match Report,
27,Sun,2015-03-15,21:00 (01:30),Real Madrid,2–0,Levante,64861,Estadio Santiago Bernabéu,Pedro Pérez,Match Report,
27,Mon,2015-03-16,20:45 (01:15),Getafe,0–1,Real Sociedad,5500,Coliseum Alfonso Pérez,Mario Melero,Match Report,
28,Fri,2015-03-20,20:45 (01:15),Elche,0–4,Valencia,26510,Estadio Manuel Martínez Valero,David Fernández,Match Report,
28,Sat,2015-03-21,16:00 (20:30),Atlético Madrid,2–0,Getafe,38673,Estadio Vicente Calderón,Juan Martínez,Match Report,
28,Sat,2015-03-21,18:00 (22:30),Rayo Vallecano,1–0,Málaga,9110,Estadio del Rayo Vallecano,Santiago Jaime,Match Report,
28,Sat,2015-03-21,20:00 (00:30),Levante,0–1,Celta Vigo,11463,Estadio Ciudad de Valencia,José Teixeira,Match Report,
28,Sat,2015-03-21,22:00 (02:30),Athletic Club,2–1,Almería,35429,San Mamés,Eduardo Prieto,Match Report,
28,Sat,2015-03-21,22:00 (02:30),Granada,0–0,Eibar,15203,Estadio Nuevo Los Cármenes,Alberto Undiano,Match Report,
28,Sun,2015-03-22,12:00 (16:30),La Coruña,0–0,Espanyol,19957,Estadio Municipal de Riazor,Fernando Teixeira,Match Report,
28,Sun,2015-03-22,17:00 (21:30),Villarreal,0–2,Sevilla,9788,Estadio de la Cerámica,Alejandro Hernández,Match Report,
28,Sun,2015-03-22,19:00 (23:30),Real Sociedad,3–1,Córdoba,21169,Estadio Municipal de Anoeta,Carlos Velasco,Match Report,
28,Sun,2015-03-22,21:00 (01:30),Barcelona,2–1,Real Madrid,98760,Camp Nou,Antonio Matéu Lahoz,Match Report,
29,Fri,2015-04-03,20:45 (00:15),Eibar,1–2,Rayo Vallecano,4023,Estadio Municipal de Ipurúa,Ignacio Iglesias,Match Report,
29,Sat,2015-04-04,16:00 (19:30),Sevilla,2–0,Athletic Club,27752,Estadio Ramón Sánchez Pizjuán,Alfonso Álvarez,Match Report,
29,Sat,2015-04-04,18:00 (21:30),Córdoba,0–2,Atlético Madrid,17659,Estadio Nuevo Arcángel,Javier Estrada,Match Report,
29,Sat,2015-04-04,20:00 (23:30),Almería,1–4,Levante,9603,Estadio de los Juegos Mediterráneos,José González,Match Report,
29,Sat,2015-04-04,22:00 (01:30),Málaga,1–1,Real Sociedad,20499,Estadio La Rosaleda,Carlos del Cerro,Match Report,
29,Sun,2015-04-05,12:00 (15:30),Real Madrid,9–1,Granada,71863,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
29,Sun,2015-04-05,17:00 (20:30),Valencia,0–0,Villarreal,41830,Estadio de Mestalla,Mario Melero,Match Report,
29,Sun,2015-04-05,19:00 (22:30),Getafe,2–1,La Coruña,6287,Coliseum Alfonso Pérez,Carlos Clos Gómez,Match Report,
29,Sun,2015-04-05,21:00 (00:30),Celta Vigo,0–1,Barcelona,23759,Estadio de Balaídos,Iñaki Bikandi,Match Report,
29,Mon,2015-04-06,20:00 (23:30),Espanyol,1–1,Elche,13892,RCDE Stadium,Pedro Pérez,Match Report,
30,Tue,2015-04-07,20:00 (23:30),Atlético Madrid,2–0,Real Sociedad,40238,Estadio Vicente Calderón,Alberto Undiano,Match Report,
30,Tue,2015-04-07,22:00 (01:30),Eibar,1–0,Málaga,4008,Estadio Municipal de Ipurúa,Jesús Gil,Match Report,
30,Tue,2015-04-07,22:00 (01:30),Levante,1–2,Sevilla,11484,Estadio Ciudad de Valencia,Carlos Velasco,Match Report,
30,Wed,2015-04-08,20:00 (23:30),Barcelona,4–0,Almería,73837,Camp Nou,Alejandro Hernández,Match Report,
30,Wed,2015-04-08,20:00 (23:30),La Coruña,1–1,Córdoba,17602,Estadio Municipal de Riazor,Eduardo Prieto,Match Report,
30,Wed,2015-04-08,22:00 (01:30),Rayo Vallecano,0–2,Real Madrid,13016,Estadio del Rayo Vallecano,Mario Melero,Match Report,
30,Wed,2015-04-08,22:00 (01:30),Granada,1–1,Celta Vigo,14338,Estadio Nuevo Los Cármenes,Alfonso Álvarez,Match Report,
30,Thu,2015-04-09,20:00 (23:30),Athletic Club,1–1,Valencia,43034,San Mamés,Fernando Teixeira,Match Report,
30,Thu,2015-04-09,22:00 (01:30),Elche,0–1,Getafe,18088,Estadio Manuel Martínez Valero,José González,Match Report,
30,Thu,2015-04-09,22:00 (01:30),Villarreal,0–3,Espanyol,11830,Estadio de la Cerámica,Carlos del Cerro,Match Report,
31,Sat,2015-04-11,16:00 (19:30),Real Madrid,3–0,Eibar,73965,Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,
31,Sat,2015-04-11,18:00 (21:30),Málaga,2–2,Atlético Madrid,26982,Estadio La Rosaleda,Antonio Matéu Lahoz,Match Report,
31,Sat,2015-04-11,20:00 (23:30),Sevilla,2–2,Barcelona,40355,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
31,Sat,2015-04-11,22:00 (01:30),Almería,3–0,Granada,8920,Estadio de los Juegos Mediterráneos,Santiago Jaime,Match Report,
31,Sat,2015-04-11,22:00 (01:30),Celta Vigo,6–1,Rayo Vallecano,16633,Estadio de Balaídos,Carlos Clos Gómez,Match Report,
31,Sun,2015-04-12,12:00 (15:30),Getafe,1–1,Villarreal,6745,Coliseum Alfonso Pérez,José Teixeira,Match Report,
31,Sun,2015-04-12,17:00 (20:30),Espanyol,1–0,Athletic Club,19054,RCDE Stadium,David Fernández,Match Report,
31,Sun,2015-04-12,19:00 (22:30),Real Sociedad,2–2,La Coruña,21894,Estadio Municipal de Anoeta,Pedro Pérez,Match Report,
31,Sun,2015-04-12,21:00 (00:30),Córdoba,0–2,Elche,14164,Estadio Nuevo Arcángel,Iñaki Bikandi,Match Report,
31,Mon,2015-04-13,20:30 (00:00),Valencia,3–0,Levante,41935,Estadio de Mestalla,Ignacio Iglesias,Match Report,
32,Fri,2015-04-17,20:45 (00:15),Levante,2–2,Espanyol,17062,Estadio Ciudad de Valencia,Mario Melero,Match Report,
32,Sat,2015-04-18,16:00 (19:30),Barcelona,2–0,Valencia,92915,Camp Nou,José González,Match Report,
32,Sat,2015-04-18,18:00 (21:30),La Coruña,1–2,Atlético Madrid,24693,Estadio Municipal de Riazor,David Fernández,Match Report,
32,Sat,2015-04-18,20:00 (23:30),Real Madrid,3–1,Málaga,78354,Estadio Santiago Bernabéu,Iñaki Bikandi,Match Report,
32,Sat,2015-04-18,22:00 (01:30),Athletic Club,4–0,Getafe,37220,San Mamés,Antonio Matéu Lahoz,Match Report,
32,Sun,2015-04-19,12:00 (15:30),Rayo Vallecano,2–0,Almería,10165,Estadio del Rayo Vallecano,Jesús Gil,Match Report,
32,Sun,2015-04-19,17:00 (20:30),Granada,1–1,Sevilla,18275,Estadio Nuevo Los Cármenes,Javier Estrada,Match Report,
32,Sun,2015-04-19,19:00 (22:30),Villarreal,0–0,Córdoba,23000,Estadio de la Cerámica,Ignacio Iglesias,Match Report,
32,Sun,2015-04-19,21:00 (00:30),Eibar,0–1,Celta Vigo,4520,Estadio Municipal de Ipurúa,Carlos Velasco,Match Report,
32,Mon,2015-04-20,20:45 (00:15),Elche,1–0,Real Sociedad,19159,Estadio Manuel Martínez Valero,Eduardo Prieto,Match Report,
33,Fri,2015-04-24,20:45 (00:15),Córdoba,0–1,Athletic Club,16472,Estadio Nuevo Arcángel,José Teixeira,Match Report,
33,Sat,2015-04-25,16:00 (19:30),Espanyol,0–2,Barcelona,30253,RCDE Stadium,Antonio Matéu Lahoz,Match Report,
33,Sat,2015-04-25,18:00 (21:30),Atlético Madrid,3–0,Elche,47531,Estadio Vicente Calderón,Carlos Clos Gómez,Match Report,
33,Sat,2015-04-25,20:00 (23:30),Getafe,0–1,Levante,5954,Coliseum Alfonso Pérez,Alfonso Álvarez,Match Report,
33,Sat,2015-04-25,22:00 (01:30),Real Sociedad,0–0,Villarreal,17073,Estadio Municipal de Anoeta,Jesús Gil,Match Report,
33,Sun,2015-04-26,12:00 (15:30),Málaga,1–1,La Coruña,23851,Estadio La Rosaleda,Javier Estrada,Match Report,
33,Sun,2015-04-26,17:00 (20:30),Almería,2–0,Eibar,10715,Estadio de los Juegos Mediterráneos,Carlos del Cerro,Match Report,
33,Sun,2015-04-26,19:00 (22:30),Sevilla,2–0,Rayo Vallecano,28532,Estadio Ramón Sánchez Pizjuán,Santiago Jaime,Match Report,
33,Sun,2015-04-26,21:00 (00:30),Celta Vigo,2–4,Real Madrid,25274,Estadio de Balaídos,Pedro Pérez,Match Report,
33,Mon,2015-04-27,20:45 (00:15),Valencia,4–0,Granada,36763,Estadio de Mestalla,Alberto Undiano,Match Report,
34,Tue,2015-04-28,20:00 (23:30),Barcelona,6–0,Getafe,65356,Camp Nou,David Fernández,Match Report,
34,Tue,2015-04-28,22:00 (01:30),Levante,1–0,Córdoba,14098,Estadio Ciudad de Valencia,Jesús Gil,Match Report,
34,Tue,2015-04-28,22:00 (01:30),Athletic Club,1–1,Real Sociedad,42322,San Mamés,Juan Martínez,Match Report,
34,Wed,2015-04-29,20:00 (23:30),Real Madrid,3–0,Almería,63813,Estadio Santiago Bernabéu,Ignacio Iglesias,Match Report,
34,Wed,2015-04-29,20:00 (23:30),Celta Vigo,1–0,Málaga,17205,Estadio de Balaídos,Alejandro Hernández,Match Report,
34,Wed,2015-04-29,20:00 (23:30),Eibar,1–3,Sevilla,5517,Estadio Municipal de Ipurúa,Eduardo Prieto,Match Report,
34,Wed,2015-04-29,22:00 (01:30),Elche,4–0,La Coruña,19251,Estadio Manuel Martínez Valero,Alfonso Álvarez,Match Report,
34,Wed,2015-04-29,22:00 (01:30),Villarreal,0–1,Atlético Madrid,18725,Estadio de la Cerámica,José González,Match Report,
34,Thu,2015-04-30,20:00 (23:30),Rayo Vallecano,1–1,Valencia,10055,Estadio del Rayo Vallecano,Iñaki Bikandi,Match Report,
34,Thu,2015-04-30,22:00 (01:30),Granada,1–2,Espanyol,15097,Estadio Nuevo Los Cármenes,Carlos Velasco,Match Report,
35,Fri,2015-05-01,20:45 (00:15),Real Sociedad,3–0,Levante,18821,Estadio Municipal de Anoeta,Carlos del Cerro,Match Report,
35,Sat,2015-05-02,16:00 (19:30),Córdoba,0–8,Barcelona,13775,Estadio Nuevo Arcángel,Carlos Clos Gómez,Match Report,
35,Sat,2015-05-02,18:00 (21:30),Atlético Madrid,0–0,Athletic Club,48452,Estadio Vicente Calderón,Santiago Jaime,Match Report,
35,Sat,2015-05-02,20:00 (23:30),Sevilla,2–3,Real Madrid,39689,Estadio Ramón Sánchez Pizjuán,José González,Match Report,
35,Sat,2015-05-02,22:00 (01:30),La Coruña,1–1,Villarreal,20817,Estadio Municipal de Riazor,Alejandro Hernández,Match Report,
35,Sun,2015-05-03,12:00 (15:30),Espanyol,1–1,Rayo Vallecano,16479,RCDE Stadium,Fernando Teixeira,Match Report,
35,Sun,2015-05-03,17:00 (20:30),Getafe,1–2,Granada,5897,Coliseum Alfonso Pérez,Eduardo Prieto,Match Report,
35,Sun,2015-05-03,19:00 (22:30),Valencia,3–1,Eibar,39320,Estadio de Mestalla,Javier Estrada,Match Report,
35,Sun,2015-05-03,21:00 (00:30),Málaga,1–2,Elche,18714,Estadio La Rosaleda,Alberto Undiano,Match Report,
35,Mon,2015-05-04,20:45 (00:15),Almería,2–2,Celta Vigo,10898,Estadio de los Juegos Mediterráneos,José Teixeira,Match Report,
36,Fri,2015-05-08,20:45 (00:15),Eibar,0–2,Espanyol,5648,Estadio Municipal de Ipurúa,José Teixeira,Match Report,
36,Sat,2015-05-09,16:00 (19:30),Granada,2–0,Córdoba,19266,Estadio Nuevo Los Cármenes,Fernando Teixeira,Match Report,
36,Sat,2015-05-09,18:00 (21:30),Barcelona,2–0,Real Sociedad,86047,Camp Nou,Ignacio Iglesias,Match Report,
36,Sat,2015-05-09,20:00 (23:30),Real Madrid,2–2,Valencia,79897,Estadio Santiago Bernabéu,Carlos Clos Gómez,Match Report,
36,Sat,2015-05-09,22:00 (01:30),Athletic Club,1–1,La Coruña,39670,San Mamés,Jesús Gil,Match Report,
36,Sun,2015-05-10,12:00 (15:30),Levante,2–2,Atlético Madrid,19314,Estadio Ciudad de Valencia,Alejandro Hernández,Match Report,
36,Sun,2015-05-10,17:00 (20:30),Villarreal,1–0,Elche,13629,Estadio de la Cerámica,Carlos del Cerro,Match Report,
36,Sun,2015-05-10,19:00 (22:30),Almería,1–2,Málaga,10690,Estadio de los Juegos Mediterráneos,Eduardo Prieto,Match Report,
36,Sun,2015-05-10,21:00 (00:30),Celta Vigo,1–1,Sevilla,18957,Estadio de Balaídos,Carlos Velasco,Match Report,
36,Mon,2015-05-11,20:45 (00:15),Rayo Vallecano,2–0,Getafe,9475,Estadio del Rayo Vallecano,Pedro Pérez,Match Report,
37,Sun,2015-05-17,19:00 (22:30),Villarreal,2–1,Málaga,13105,Estadio de la Cerámica,Carlos Velasco,Match Report,
37,Sun,2015-05-17,19:00 (22:30),La Coruña,2–0,Levante,30251,Estadio Municipal de Riazor,José González,Match Report,
37,Sun,2015-05-17,19:00 (22:30),Sevilla,2–1,Almería,32511,Estadio Ramón Sánchez Pizjuán,Iñaki Bikandi,Match Report,
37,Sun,2015-05-17,19:00 (22:30),Espanyol,1–4,Real Madrid,30180,RCDE Stadium,Juan Martínez,Match Report,
37,Sun,2015-05-17,19:00 (22:30),Córdoba,1–2,Rayo Vallecano,7619,Estadio Nuevo Arcángel,Antonio Matéu Lahoz,Match Report,
37,Sun,2015-05-17,19:00 (22:30),Real Sociedad,0–3,Granada,20644,Estadio Municipal de Anoeta,Javier Estrada,Match Report,
37,Sun,2015-05-17,19:00 (22:30),Elche,2–3,Athletic Club,22693,Estadio Manuel Martínez Valero,Alejandro Hernández,Match Report,
37,Sun,2015-05-17,19:00 (22:30),Valencia,1–1,Celta Vigo,44498,Estadio de Mestalla,Jesús Gil,Match Report,
37,Sun,2015-05-17,19:00 (22:30),Atlético Madrid,0–1,Barcelona,53254,Estadio Vicente Calderón,Alberto Undiano,Match Report,
37,Sun,2015-05-17,19:00 (22:30),Getafe,1–1,Eibar,8808,Coliseum Alfonso Pérez,Carlos Clos Gómez,Match Report,
38,Sat,2015-05-23,16:30 (20:00),Levante,0–0,Elche,11847,Estadio Ciudad de Valencia,Mario Melero,Match Report,
38,Sat,2015-05-23,18:30 (22:00),Celta Vigo,3–2,Espanyol,15000,Estadio de Balaídos,Carlos del Cerro,Match Report,
38,Sat,2015-05-23,18:30 (22:00),Málaga,2–3,Sevilla,23103,Estadio La Rosaleda,Ignacio Iglesias,Match Report,
38,Sat,2015-05-23,18:30 (22:00),Barcelona,2–2,La Coruña,93743,Camp Nou,Carlos Clos Gómez,Match Report,
38,Sat,2015-05-23,18:30 (22:00),Rayo Vallecano,2–4,Real Sociedad,9513,Estadio del Rayo Vallecano,Fernando Teixeira,Match Report,
38,Sat,2015-05-23,18:30 (22:00),Eibar,3–0,Córdoba,6065,Estadio Municipal de Ipurúa,Alfonso Álvarez,Match Report,
38,Sat,2015-05-23,18:30 (22:00),Athletic Club,4–0,Villarreal,43276,San Mamés,Eduardo Prieto,Match Report,
38,Sat,2015-05-23,18:30 (22:00),Almería,2–3,Valencia,11137,Estadio de los Juegos Mediterráneos,Alejandro Hernández,Match Report,
38,Sat,2015-05-23,18:30 (22:00),Granada,0–0,Atlético Madrid,28848,Estadio Nuevo Los Cármenes,José González,Match Report,
38,Sat,2015-05-23,20:30 (00:00),Real Madrid,7–3,Getafe,63769,Estadio Santiago Bernabéu,José Teixeira,Match Report,
