Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2017-08-18,20:15 (23:45),Leganés,1.3,1–0,0.9,Alavés,9231,Estadio Municipal de Butarque,José Munuera,Match Report,
1,Fri,2017-08-18,22:15 (01:45),Valencia,2.0,1–0,0.4,Las Palmas,35971,Estadio de Mestalla,Jesús Gil,Match Report,
1,Sat,2017-08-19,18:15 (21:45),Celta Vigo,1.2,2–3,2.1,Real Sociedad,16961,Estadio de Balaídos,Antonio Matéu Lahoz,Match Report,
1,Sat,2017-08-19,20:15 (23:45),Girona,2.4,2–2,0.7,Atlético Madrid,11511,Estadi Municipal de Montilivi,Juan Martínez,Match Report,
1,Sat,2017-08-19,22:15 (01:45),Sevilla,1.9,1–1,1.2,Espanyol,30487,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,
1,Sun,2017-08-20,18:15 (21:45),Athletic Club,0.9,0–0,0.4,Getafe,37884,San Mamés,Mario Melero,Match Report,
1,Sun,2017-08-20,20:15 (23:45),Barcelona,1.7,2–0,0.3,Betis,56480,Camp Nou,Daniel Trujillo,Match Report,
1,Sun,2017-08-20,22:15 (01:45),La Coruña,1.9,0–3,2.4,Real Madrid,27770,Estadio Municipal de Riazor,José González,Match Report,
1,Mon,2017-08-21,20:15 (23:45),Levante,1.6,1–0,0.6,Villarreal,19500,Estadio Ciudad de Valencia,Alfonso Álvarez,Match Report,
1,Mon,2017-08-21,22:00 (01:30),Málaga,0.6,0–1,0.8,Eibar,24753,Estadio La Rosaleda,David Medié,Match Report,
2,Fri,2017-08-25,20:15 (23:45),Real Sociedad,3.0,3–0,0.2,Villarreal,19931,Estadio Municipal de Anoeta,Javier Estrada,Match Report,
2,Fri,2017-08-25,22:00 (01:30),Betis,0.9,2–1,0.5,Celta Vigo,45761,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
2,Sat,2017-08-26,18:15 (21:45),Alavés,0.7,0–2,2.5,Barcelona,19356,Estadio de Mendizorroza,Carlos del Cerro,Match Report,
2,Sat,2017-08-26,20:15 (23:45),Girona,1.9,1–0,0.4,Málaga,9966,Estadi Municipal de Montilivi,Santiago Jaime,Match Report,
2,Sat,2017-08-26,20:15 (23:45),Levante,2.5,2–2,1.2,La Coruña,17370,Estadio Ciudad de Valencia,Alberola Rojas,Match Report,
2,Sat,2017-08-26,21:15 (01:45),Las Palmas,1.3,1–5,0.5,Atlético Madrid,20384,Estadio de Gran Canaria,Ignacio Iglesias,Match Report,
