Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
2,Sun,2017-08-27,18:15 (21:45),Espanyol,1.5,0–1,1.9,Leganés,18383,RCDE Stadium,Pablo González,Match Report,
2,Sun,2017-08-27,18:15 (21:45),Eibar,1.1,0–1,0.6,Athletic Club,5932,Estadio Municipal de Ipurúa,José Sánchez,Match Report,
2,Sun,2017-08-27,20:15 (23:45),Getafe,1.8,0–1,1.0,Sevilla,10039,Coliseum Alfonso Pérez,Alberto Undiano,Match Report,
2,Sun,2017-08-27,22:15 (01:45),Real Madrid,3.0,2–2,1.4,Valencia,65107,Estadio Santiago Bernabéu,David Fernández,Match Report,
3,Fri,2017-09-08,21:00 (00:30),Leganés,1.5,1–2,0.5,Getafe,11454,Estadio Municipal de Butarque,Alfonso Álvarez,Match Report,
3,Sat,2017-09-09,13:00 (16:30),Real Madrid,2.1,1–1,0.7,Levante,67789,Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,
3,Sat,2017-09-09,16:15 (19:45),Valencia,0.6,0–0,0.7,Atlético Madrid,43859,Estadio de Mestalla,José González,Match Report,
3,Sat,2017-09-09,18:30 (22:00),Sevilla,2.6,3–0,0.6,Eibar,32469,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
3,Sat,2017-09-09,20:45 (00:15),Barcelona,3.5,5–0,0.7,Espanyol,72857,Camp Nou,Jesús Gil,Match Report,
3,Sun,2017-09-10,12:00 (15:30),La Coruña,1.0,2–4,2.0,Real Sociedad,21942,Estadio Municipal de Riazor,José Munuera,Match Report,
3,Sun,2017-09-10,16:15 (19:45),Athletic Club,1.0,2–0,0.5,Girona,39952,San Mamés,Daniel Trujillo,Match Report,
3,Sun,2017-09-10,18:30 (22:00),Celta Vigo,2.1,1–0,0.5,Alavés,17384,Estadio de Balaídos,Mario Melero,Match Report,
3,Sun,2017-09-10,20:45 (00:15),Villarreal,1.5,3–1,0.7,Betis,18638,Estadio de la Cerámica,David Medié,Match Report,
3,Mon,2017-09-11,21:00 (00:30),Málaga,0.7,1–3,1.3,Las Palmas,22697,Estadio La Rosaleda,Javier Estrada,Match Report,
4,Fri,2017-09-15,21:00 (00:30),Eibar,0.7,1–0,0.2,Leganés,4986,Estadio Municipal de Ipurúa,Juan Martínez,Match Report,
4,Sat,2017-09-16,13:00 (16:30),Levante,0.7,1–1,1.3,Valencia,23084,Estadio Ciudad de Valencia,Carlos del Cerro,Match Report,
4,Sat,2017-09-16,16:15 (19:45),Getafe,1.2,1–2,0.6,Barcelona,15164,Coliseum Alfonso Pérez,David Fernández,Match Report,
4,Sat,2017-09-16,18:30 (22:00),Betis,1.8,2–1,0.5,La Coruña,46174,Estadio Benito Villamarín,Alberto Undiano,Match Report,
4,Sat,2017-09-16,20:45 (00:15),Atlético Madrid,1.6,1–0,0.4,Málaga,63114,Estadio Wanda Metropolitano,José Sánchez,Match Report,
4,Sun,2017-09-17,12:00 (15:30),Alavés,0.4,0–3,1.6,Villarreal,18124,Estadio de Mendizorroza,Santiago Jaime,Match Report,
4,Sun,2017-09-17,16:15 (19:45),Girona,1.8,0–1,1.0,Sevilla,11032,Estadi Municipal de Montilivi,Ricardo de Burgos,Match Report,
4,Sun,2017-09-17,17:30 (22:00),Las Palmas,0.9,1–0,1.3,Athletic Club,19213,Estadio de Gran Canaria,Pablo González,Match Report,
4,Sun,2017-09-17,20:45 (00:15),Real Sociedad,0.8,1–3,1.6,Real Madrid,24966,Estadio Municipal de Anoeta,Ignacio Iglesias,Match Report,
4,Mon,2017-09-18,21:00 (00:30),Espanyol,0.9,2–1,1.0,Celta Vigo,15026,RCDE Stadium,Alberola Rojas,Match Report,
5,Tue,2017-09-19,20:00 (23:30),Valencia,3.1,5–0,0.8,Málaga,36215,Estadio de Mestalla,Alfonso Álvarez,Match Report,
5,Tue,2017-09-19,22:00 (01:30),Barcelona,2.4,6–1,1.1,Eibar,51645,Camp Nou,Alejandro Hernández,Match Report,
5,Wed,2017-09-20,20:00 (23:30),Athletic Club,2.2,1–2,2.3,Atlético Madrid,43381,San Mamés,Javier Estrada,Match Report,
5,Wed,2017-09-20,20:00 (23:30),Leganés,0.9,0–0,0.7,Girona,9781,Estadio Municipal de Butarque,Mario Melero,Match Report,
5,Wed,2017-09-20,21:00 (00:30),La Coruña,2.1,1–0,0.6,Alavés,18518,Estadio Municipal de Riazor,David Medié,Match Report,
5,Wed,2017-09-20,22:00 (01:30),Real Madrid,3.1,0–1,0.8,Betis,65102,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
5,Wed,2017-09-20,22:00 (01:30),Sevilla,1.5,1–0,0.2,Las Palmas,35317,Estadio Ramón Sánchez Pizjuán,José González,Match Report,
5,Thu,2017-09-21,20:00 (23:30),Villarreal,1.3,0–0,0.7,Espanyol,17094,Estadio de la Cerámica,José Munuera,Match Report,
5,Thu,2017-09-21,21:00 (00:30),Celta Vigo,0.6,1–1,0.9,Getafe,14700,Estadio de Balaídos,Daniel Trujillo,Match Report,
5,Thu,2017-09-21,22:00 (01:30),Levante,1.8,3–0,1.2,Real Sociedad,17415,Estadio Ciudad de Valencia,Jesús Gil,Match Report,
6,Sat,2017-09-23,13:00 (16:30),Atlético Madrid,1.7,2–0,0.5,Sevilla,60823,Estadio Wanda Metropolitano,Juan Martínez,Match Report,
6,Sat,2017-09-23,16:15 (19:45),Alavés,0.7,1–2,3.1,Real Madrid,19159,Estadio de Mendizorroza,Alberto Undiano,Match Report,
6,Sat,2017-09-23,18:30 (22:00),Málaga,1.6,3–3,1.4,Athletic Club,23425,Estadio La Rosaleda,Carlos del Cerro,Match Report,
6,Sat,2017-09-23,20:45 (00:15),Girona,0.7,0–3,1.1,Barcelona,13305,Estadi Municipal de Montilivi,José Sánchez,Match Report,
6,Sun,2017-09-24,12:00 (15:30),Espanyol,3.0,4–1,1.4,La Coruña,19585,RCDE Stadium,Ricardo de Burgos,Match Report,
6,Sun,2017-09-24,16:15 (19:45),Getafe,2.2,4–0,0.6,Villarreal,10874,Coliseum Alfonso Pérez,Ignacio Iglesias,Match Report,
6,Sun,2017-09-24,17:30 (22:00),Las Palmas,0.6,0–2,1.2,Leganés,17560,Estadio de Gran Canaria,Alberola Rojas,Match Report,
6,Sun,2017-09-24,18:30 (22:00),Eibar,0.8,0–4,1.4,Celta Vigo,5345,Estadio Municipal de Ipurúa,David Fernández,Match Report,
6,Sun,2017-09-24,20:45 (00:15),Real Sociedad,0.8,2–3,1.8,Valencia,20266,Estadio Municipal de Anoeta,Santiago Jaime,Match Report,
6,Mon,2017-09-25,21:00 (00:30),Betis,1.8,4–0,0.4,Levante,48237,Estadio Benito Villamarín,Pablo González,Match Report,
7,Fri,2017-09-29,21:00 (00:30),Celta Vigo,2.3,3–3,1.7,Girona,16126,Estadio de Balaídos,Pablo González,Match Report,
7,Sat,2017-09-30,13:00 (16:30),La Coruña,2.0,2–1,1.3,Getafe,19323,Estadio Municipal de Riazor,Javier Estrada,Match Report,
7,Sat,2017-09-30,16:15 (19:45),Sevilla,1.7,2–0,0.5,Málaga,34430,Estadio Ramón Sánchez Pizjuán,Daniel Trujillo,Match Report,
7,Sat,2017-09-30,18:30 (22:00),Levante,0.7,0–2,2.2,Alavés,18528,Estadio Ciudad de Valencia,David Fernández,Match Report,
7,Sat,2017-09-30,20:45 (00:15),Leganés,0.6,0–0,1.2,Atlético Madrid,11454,Estadio Municipal de Butarque,Jesús Gil,Match Report,
7,Sun,2017-10-01,12:00 (15:30),Real Sociedad,1.8,4–4,2.0,Betis,19669,Estadio Municipal de Anoeta,Alfonso Álvarez,Match Report,
7,Sun,2017-10-01,16:15 (19:45),Barcelona,2.7,3–0,0.3,Las Palmas,,Camp Nou,José Munuera,Match Report,
7,Sun,2017-10-01,18:30 (22:00),Valencia,2.2,3–2,1.5,Athletic Club,42070,Estadio de Mestalla,Alejandro Hernández,Match Report,
7,Sun,2017-10-01,18:30 (22:00),Villarreal,2.5,3–0,0.2,Eibar,17090,Estadio de la Cerámica,Mario Melero,Match Report,
7,Sun,2017-10-01,20:45 (00:15),Real Madrid,2.3,2–0,0.4,Espanyol,71205,Estadio Santiago Bernabéu,José González,Match Report,
8,Fri,2017-10-13,21:00 (00:30),Espanyol,1.9,0–0,1.2,Levante,19365,RCDE Stadium,Alberto Undiano,Match Report,
8,Sat,2017-10-14,13:00 (16:30),Athletic Club,1.6,1–0,1.7,Sevilla,40197,San Mamés,Ignacio Iglesias,Match Report,
8,Sat,2017-10-14,16:15 (19:45),Getafe,1.3,1–2,1.6,Real Madrid,15350,Coliseum Alfonso Pérez,Juan Martínez,Match Report,
8,Sat,2017-10-14,18:30 (22:00),Alavés,0.6,0–2,0.6,Real Sociedad,19840,Estadio de Mendizorroza,Alberola Rojas,Match Report,
8,Sat,2017-10-14,20:45 (00:15),Atlético Madrid,0.5,1–1,1.2,Barcelona,64393,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,Match Report,
8,Sun,2017-10-15,12:00 (15:30),Eibar,0.6,0–0,0.3,La Coruña,5125,Estadio Municipal de Ipurúa,Santiago Jaime,Match Report,
8,Sun,2017-10-15,16:15 (19:45),Girona,1.5,1–2,0.9,Villarreal,9935,Estadi Municipal de Montilivi,Carlos del Cerro,Match Report,
8,Sun,2017-10-15,18:30 (22:00),Málaga,0.6,0–2,2.0,Leganés,23951,Estadio La Rosaleda,José González,Match Report,
8,Sun,2017-10-15,20:45 (00:15),Betis,2.4,3–6,1.8,Valencia,48792,Estadio Benito Villamarín,José Sánchez,Match Report,
8,Mon,2017-10-16,20:00 (00:30),Las Palmas,2.3,2–5,1.2,Celta Vigo,15799,Estadio de Gran Canaria,David Medié,Match Report,
9,Sat,2017-10-21,13:00 (16:30),Levante,0.5,1–1,0.8,Getafe,18064,Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,
9,Sat,2017-10-21,16:15 (19:45),Betis,1.0,2–0,1.2,Alavés,49243,Estadio Benito Villamarín,Daniel Trujillo,Match Report,
9,Sat,2017-10-21,18:30 (22:00),Valencia,1.6,4–0,1.1,Sevilla,44307,Estadio de Mestalla,Javier Estrada,Match Report,
9,Sat,2017-10-21,20:45 (00:15),Barcelona,1.6,2–0,0.8,Málaga,74397,Camp Nou,Pablo González,Match Report,
9,Sun,2017-10-22,12:00 (15:30),Villarreal,2.5,4–0,1.1,Las Palmas,16606,Estadio de la Cerámica,David Fernández,Match Report,
9,Sun,2017-10-22,16:15 (19:45),Celta Vigo,1.2,0–1,0.6,Atlético Madrid,12978,Estadio de Balaídos,José Munuera,Match Report,
9,Sun,2017-10-22,18:30 (22:00),Leganés,1.0,1–0,0.8,Athletic Club,11454,Estadio Municipal de Butarque,Antonio Matéu Lahoz,Match Report,
9,Sun,2017-10-22,20:45 (00:15),Real Madrid,1.3,3–0,0.7,Eibar,66781,Estadio Santiago Bernabéu,Alfonso Álvarez,Match Report,
9,Mon,2017-10-23,20:00 (23:30),Real Sociedad,1.2,1–1,0.4,Espanyol,18515,Estadio Municipal de Anoeta,Mario Melero,Match Report,
9,Mon,2017-10-23,21:00 (00:30),La Coruña,1.9,1–2,2.0,Girona,17463,Estadio Municipal de Riazor,Jesús Gil,Match Report,
10,Sat,2017-10-28,13:00 (16:30),Alavés,0.9,1–2,1.2,Valencia,18638,Estadio de Mendizorroza,José González,Match Report,
10,Sat,2017-10-28,18:30 (22:00),Atlético Madrid,1.6,1–1,0.8,Villarreal,61421,Estadio Wanda Metropolitano,Alberto Undiano,Match Report,
10,Sat,2017-10-28,20:45 (00:15),Athletic Club,1.1,0–2,2.3,Barcelona,43570,San Mamés,Juan Martínez,Match Report,
10,Sat,2017-10-28,22:30 (02:00),Sevilla,1.4,2–1,1.1,Leganés,32097,Estadio Ramón Sánchez Pizjuán,David Medié,Match Report,
10,Sun,2017-10-29,12:00 (16:30),Getafe,1.9,2–1,1.1,Real Sociedad,11010,Coliseum Alfonso Pérez,José Sánchez,Match Report,
10,Sun,2017-10-29,16:15 (20:45),Girona,1.7,2–1,1.4,Real Madrid,13382,Estadi Municipal de Montilivi,Alejandro Hernández,Match Report,
10,Sun,2017-10-29,18:30 (23:00),Eibar,1.6,2–2,1.0,Levante,5131,Estadio Municipal de Ipurúa,Alberola Rojas,Match Report,
10,Sun,2017-10-29,20:45 (01:15),Málaga,1.8,2–1,1.5,Celta Vigo,19541,Estadio La Rosaleda,Santiago Jaime,Match Report,
10,Mon,2017-10-30,20:00 (01:30),Las Palmas,1.1,1–3,1.6,La Coruña,14805,Estadio de Gran Canaria,Carlos del Cerro,Match Report,
10,Mon,2017-10-30,21:00 (01:30),Espanyol,0.6,1–0,0.5,Betis,17856,RCDE Stadium,Ignacio Iglesias,Match Report,
11,Fri,2017-11-03,21:00 (01:30),Betis,1.1,2–2,0.5,Getafe,42323,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
11,Sat,2017-11-04,13:00 (17:30),Valencia,2.2,3–0,1.0,Leganés,39694,Estadio de Mestalla,Ricardo de Burgos,Match Report,
11,Sat,2017-11-04,16:15 (20:45),La Coruña,0.5,0–1,0.5,Atlético Madrid,22733,Estadio Municipal de Riazor,Alfonso Álvarez,Match Report,
11,Sat,2017-11-04,18:30 (23:00),Alavés,1.6,1–0,1.3,Espanyol,19368,Estadio de Mendizorroza,Pablo González,Match Report,
11,Sat,2017-11-04,20:45 (01:15),Barcelona,1.8,2–1,0.4,Sevilla,70723,Camp Nou,José González,Match Report,
11,Sun,2017-11-05,12:00 (16:30),Levante,0.6,1–2,1.1,Girona,18324,Estadio Ciudad de Valencia,José Munuera,Match Report,
11,Sun,2017-11-05,16:15 (20:45),Celta Vigo,0.7,3–1,1.6,Athletic Club,19779,Estadio de Balaídos,Jesús Gil,Match Report,
11,Sun,2017-11-05,18:30 (23:00),Real Sociedad,2.3,3–1,0.5,Eibar,20387,Estadio Municipal de Anoeta,Daniel Trujillo,Match Report,
11,Sun,2017-11-05,18:30 (23:00),Villarreal,0.9,2–0,0.8,Málaga,17755,Estadio de la Cerámica,Javier Estrada,Match Report,
11,Sun,2017-11-05,20:45 (01:15),Real Madrid,2.0,3–0,0.1,Las Palmas,67120,Estadio Santiago Bernabéu,José Sánchez,Match Report,
12,Fri,2017-11-17,21:00 (01:30),Girona,1.2,1–1,1.3,Real Sociedad,10136,Estadi Municipal de Montilivi,Ignacio Iglesias,Match Report,
12,Sat,2017-11-18,13:00 (17:30),Getafe,2.5,4–1,0.6,Alavés,10014,Coliseum Alfonso Pérez,Santiago Jaime,Match Report,
12,Sat,2017-11-18,16:15 (20:45),Leganés,1.1,0–3,1.9,Barcelona,11454,Estadio Municipal de Butarque,Alberto Undiano,Match Report,
12,Sat,2017-11-18,18:30 (23:00),Sevilla,1.3,2–1,1.7,Celta Vigo,35030,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
12,Sat,2017-11-18,20:45 (01:15),Atlético Madrid,1.1,0–0,1.2,Real Madrid,66496,Estadio Wanda Metropolitano,David Fernández,Match Report,
12,Sun,2017-11-19,12:00 (16:30),Málaga,1.8,3–2,1.6,La Coruña,24563,Estadio La Rosaleda,Juan Martínez,Match Report,
12,Sun,2017-11-19,16:15 (20:45),Espanyol,1.8,0–2,0.8,Valencia,25529,RCDE Stadium,Alejandro Hernández,Match Report,
12,Sun,2017-11-19,17:30 (23:00),Las Palmas,0.5,0–2,0.6,Levante,26212,Estadio de Gran Canaria,Mario Melero,Match Report,
12,Sun,2017-11-19,20:45 (01:15),Athletic Club,1.7,1–1,1.7,Villarreal,36666,San Mamés,David Medié,Match Report,
12,Mon,2017-11-20,21:00 (01:30),Eibar,1.8,5–0,0.9,Betis,4638,Estadio Municipal de Ipurúa,José González,Match Report,
13,Fri,2017-11-24,21:00 (01:30),Celta Vigo,1.7,1–0,0.8,Leganés,10611,Estadio de Balaídos,Alejandro Hernández,Match Report,
13,Sat,2017-11-25,13:00 (17:30),Alavés,0.5,1–2,0.7,Eibar,19272,Estadio de Mendizorroza,José Munuera,Match Report,
13,Sat,2017-11-25,16:15 (20:45),Real Madrid,2.7,3–2,0.4,Málaga,75671,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
13,Sat,2017-11-25,18:30 (23:00),Betis,1.1,2–2,1.5,Girona,45681,Estadio Benito Villamarín,Carlos del Cerro,Match Report,
13,Sat,2017-11-25,20:45 (01:15),Levante,1.6,0–5,3.0,Atlético Madrid,21549,Estadio Ciudad de Valencia,Daniel Trujillo,Match Report,
13,Sun,2017-11-26,12:00 (16:30),La Coruña,1.8,2–2,1.1,Athletic Club,20879,Estadio Municipal de Riazor,José González,Match Report,
13,Sun,2017-11-26,16:15 (20:45),Real Sociedad,2.3,2–2,1.6,Las Palmas,19780,Estadio Municipal de Anoeta,Pablo González,Match Report,
13,Sun,2017-11-26,18:30 (23:00),Villarreal,2.6,2–3,1.8,Sevilla,18698,Estadio de la Cerámica,Alberola Rojas,Match Report,
13,Sun,2017-11-26,20:45 (01:15),Valencia,1.1,1–1,0.8,Barcelona,47775,Estadio de Mestalla,Ignacio Iglesias,Match Report,
13,Mon,2017-11-27,21:00 (01:30),Espanyol,0.7,1–0,0.9,Getafe,11756,RCDE Stadium,Juan Martínez,Match Report,
14,Fri,2017-12-01,21:00 (01:30),Málaga,1.1,0–0,0.4,Levante,17886,Estadio La Rosaleda,Ricardo de Burgos,Match Report,
14,Sat,2017-12-02,13:00 (17:30),Barcelona,3.0,2–2,1.4,Celta Vigo,63208,Camp Nou,Mario Melero,Match Report,
14,Sat,2017-12-02,16:15 (20:45),Atlético Madrid,2.7,2–1,1.7,Real Sociedad,57394,Estadio Wanda Metropolitano,Santiago Jaime,Match Report,
14,Sat,2017-12-02,18:30 (23:00),Sevilla,1.4,2–0,1.1,La Coruña,32017,Estadio Ramón Sánchez Pizjuán,José Sánchez,Match Report,
14,Sat,2017-12-02,20:45 (01:15),Athletic Club,1.0,0–0,1.1,Real Madrid,44884,San Mamés,Antonio Matéu Lahoz,Match Report,
14,Sun,2017-12-03,12:00 (16:30),Leganés,2.0,3–1,1.1,Villarreal,10017,Estadio Municipal de Butarque,David Fernández,Match Report,
14,Sun,2017-12-03,16:15 (20:45),Getafe,0.8,1–0,0.8,Valencia,12480,Coliseum Alfonso Pérez,David Medié,Match Report,
14,Sun,2017-12-03,18:30 (23:00),Eibar,1.9,3–1,0.4,Espanyol,4693,Estadio Municipal de Ipurúa,Alberto Undiano,Match Report,
14,Sun,2017-12-03,19:45 (01:15),Las Palmas,2.4,1–0,0.3,Betis,16313,Estadio de Gran Canaria,Javier Estrada,Match Report,
14,Mon,2017-12-04,21:00 (01:30),Girona,0.5,2–3,1.4,Alavés,7316,Estadi Municipal de Montilivi,Alberola Rojas,Match Report,
15,Fri,2017-12-08,21:00 (01:30),Alavés,2.9,2–0,0.2,Las Palmas,18567,Estadio de Mendizorroza,David Medié,Match Report,
15,Sat,2017-12-09,13:00 (17:30),Getafe,0.6,0–0,0.9,Eibar,9317,Coliseum Alfonso Pérez,Alberola Rojas,Match Report,
15,Sat,2017-12-09,16:15 (20:45),Real Madrid,3.5,5–0,0.5,Sevilla,76924,Estadio Santiago Bernabéu,Juan Martínez,Match Report,
15,Sat,2017-12-09,18:30 (23:00),La Coruña,1.4,1–0,0.1,Leganés,18366,Estadio Municipal de Riazor,Mario Melero,Match Report,
15,Sat,2017-12-09,20:45 (01:15),Valencia,1.6,2–1,0.9,Celta Vigo,35633,Estadio de Mestalla,José Munuera,Match Report,
15,Sun,2017-12-10,12:00 (16:30),Real Sociedad,1.6,0–2,1.7,Málaga,16834,Estadio Municipal de Anoeta,Carlos del Cerro,Match Report,
15,Sun,2017-12-10,16:15 (20:45),Betis,0.5,0–1,0.4,Atlético Madrid,45517,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
15,Sun,2017-12-10,18:30 (23:00),Levante,0.9,1–2,1.8,Athletic Club,18005,Estadio Ciudad de Valencia,Javier Estrada,Match Report,
15,Sun,2017-12-10,20:45 (01:15),Villarreal,0.7,0–2,2.9,Barcelona,21087,Estadio de la Cerámica,Ricardo de Burgos,Match Report,
15,Mon,2017-12-11,21:00 (01:30),Espanyol,0.4,0–1,1.0,Girona,13846,RCDE Stadium,José González,Match Report,
16,Fri,2017-12-15,21:00 (01:30),Sevilla,1.9,0–0,1.7,Levante,25934,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias,Match Report,
16,Sat,2017-12-16,16:15 (20:45),Athletic Club,0.7,0–0,1.0,Real Sociedad,45504,San Mamés,David Fernández,Match Report,
16,Sat,2017-12-16,18:30 (23:00),Eibar,1.1,2–1,1.4,Valencia,5219,Estadio Municipal de Ipurúa,Pablo González,Match Report,
16,Sat,2017-12-16,20:45 (01:15),Atlético Madrid,1.2,1–0,0.5,Alavés,49937,Estadio Wanda Metropolitano,Jesús Gil,Match Report,
16,Sun,2017-12-17,12:00 (16:30),Girona,0.3,1–0,0.3,Getafe,10095,Estadi Municipal de Montilivi,Alberto Undiano,Match Report,
16,Sun,2017-12-17,16:15 (20:45),Celta Vigo,0.9,0–1,0.8,Villarreal,18215,Estadio de Balaídos,Javier Estrada,Match Report,
16,Sun,2017-12-17,17:30 (23:00),Las Palmas,1.6,2–2,1.8,Espanyol,14020,Estadio de Gran Canaria,José Sánchez,Match Report,
16,Sun,2017-12-17,20:45 (01:15),Barcelona,5.5,4–0,0.4,La Coruña,53607,Camp Nou,Antonio Matéu Lahoz,Match Report,
16,Mon,2017-12-18,21:00 (01:30),Málaga,1.0,0–2,0.9,Betis,22488,Estadio La Rosaleda,Alberola Rojas,Match Report,
17,Tue,2017-12-19,21:30 (02:00),Levante,0.9,0–0,0.4,Leganés,14639,Estadio Ciudad de Valencia,Santiago Jaime,Match Report,
17,Wed,2017-12-20,19:30 (00:00),Getafe,2.4,2–0,2.7,Las Palmas,9231,Coliseum Alfonso Pérez,Ricardo de Burgos,Match Report,
17,Wed,2017-12-20,21:30 (02:00),Real Sociedad,1.4,3–1,0.4,Sevilla,17205,Estadio Municipal de Anoeta,Alejandro Hernández,Match Report,
17,Thu,2017-12-21,19:30 (00:00),Eibar,2.0,4–1,0.4,Girona,4867,Estadio Municipal de Ipurúa,Ignacio Iglesias,Match Report,
17,Thu,2017-12-21,21:30 (02:00),Alavés,2.0,1–0,0.5,Málaga,18733,Estadio de Mendizorroza,Alfonso Álvarez,Match Report,
17,Fri,2017-12-22,19:30 (00:00),Betis,1.0,0–2,2.5,Athletic Club,42713,Estadio Benito Villamarín,Juan Martínez,Match Report,
17,Fri,2017-12-22,21:30 (02:00),Espanyol,0.7,1–0,0.5,Atlético Madrid,19327,RCDE Stadium,Mario Melero,Match Report,
17,Sat,2017-12-23,13:00 (17:30),Real Madrid,1.0,0–3,2.5,Barcelona,80264,Estadio Santiago Bernabéu,José Sánchez,Match Report,
17,Sat,2017-12-23,16:15 (20:45),Valencia,1.9,0–1,0.9,Villarreal,39181,Estadio de Mestalla,Daniel Trujillo,Match Report,
17,Sat,2017-12-23,18:30 (23:00),La Coruña,1.1,1–3,1.3,Celta Vigo,27877,Estadio Municipal de Riazor,Alberto Undiano,Match Report,
18,Sat,2018-01-06,13:00 (17:30),Atlético Madrid,1.1,2–0,0.7,Getafe,47023,Estadio Wanda Metropolitano,José Munuera,Match Report,
18,Sat,2018-01-06,16:15 (20:45),Valencia,1.9,2–1,1.0,Girona,27749,Estadio de Mestalla,David Fernández,Match Report,
18,Sat,2018-01-06,17:30 (23:00),Las Palmas,1.0,1–2,1.5,Eibar,12059,Estadio de Gran Canaria,José González,Match Report,
18,Sat,2018-01-06,20:45 (01:15),Sevilla,1.3,3–5,1.8,Betis,40282,Estadio Ramón Sánchez Pizjuán,Jesús Gil,Match Report,
18,Sun,2018-01-07,12:00 (16:30),Leganés,1.2,1–0,0.7,Real Sociedad,7523,Estadio Municipal de Butarque,Javier Estrada,Match Report,
18,Sun,2018-01-07,16:15 (20:45),Barcelona,1.9,3–0,0.9,Levante,56380,Camp Nou,Carlos del Cerro,Match Report,
18,Sun,2018-01-07,18:30 (23:00),Villarreal,1.3,1–1,1.0,La Coruña,15442,Estadio de la Cerámica,David Medié,Match Report,
18,Sun,2018-01-07,18:30 (23:00),Athletic Club,1.8,2–0,0.2,Alavés,41000,San Mamés,Pablo González,Match Report,
18,Sun,2018-01-07,20:45 (01:15),Celta Vigo,1.9,2–2,1.7,Real Madrid,20872,Estadio de Balaídos,Santiago Jaime,Match Report,
18,Mon,2018-01-08,21:00 (01:30),Málaga,1.2,0–1,0.5,Espanyol,12149,Estadio La Rosaleda,Antonio Matéu Lahoz,Match Report,
19,Fri,2018-01-12,21:00 (01:30),Getafe,0.5,1–0,0.5,Málaga,9513,Coliseum Alfonso Pérez,Juan Martínez,Match Report,
19,Sat,2018-01-13,13:00 (17:30),Girona,3.6,6–0,0.2,Las Palmas,10037,Estadi Municipal de Montilivi,Mario Melero,Match Report,
19,Sat,2018-01-13,16:15 (20:45),Real Madrid,2.8,0–1,1.4,Villarreal,63403,Estadio Santiago Bernabéu,Alberto Undiano,Match Report,
