Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2016-08-19,20:45 (00:15),Málaga,1–1,Osasuna,22347,Estadio La Rosaleda,Santiago Jaime,Match Report,
1,Fri,2016-08-19,22:00 (01:30),La Coruña,2–1,Eibar,21441,Estadio Municipal de Riazor,Mario Melero,Match Report,
1,Sat,2016-08-20,18:15 (21:45),Barcelona,6–2,Betis,65731,Camp Nou,Alberto Undiano,Match Report,
1,Sat,2016-08-20,20:15 (23:45),Granada,1–1,Villarreal,15149,Estadio Nuevo Los Cármenes,Javier Estrada,Match Report,
1,Sat,2016-08-20,22:15 (01:45),Sevilla,6–4,Espanyol,29420,Estadio Ramón Sánchez Pizjuán,José González,Match Report,
1,Sun,2016-08-21,18:15 (21:45),Sporting Gijón,2–1,Athletic Club,24833,Estadio Municipal El Molinón,Carlos Clos,Match Report,
1,Sun,2016-08-21,20:15 (23:45),Real Sociedad,0–3,Real Madrid,27653,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
1,Sun,2016-08-21,22:15 (01:45),Atlético Madrid,1–1,Alavés,36455,Estadio Vicente Calderón,Ignacio Iglesias,Match Report,
1,Mon,2016-08-22,20:00 (23:30),Celta Vigo,0–1,Leganés,16578,Estadio de Balaídos,José Luis Munuera,Match Report,
1,Mon,2016-08-22,22:00 (01:30),Valencia,2–4,Las Palmas,37144,Estadio de Mestalla,Iñaki Bikandi,Match Report,
2,Fri,2016-08-26,20:45 (00:15),Betis,0–0,La Coruña,33172,Estadio Benito Villamarín,Carlos Clos,Match Report,
2,Fri,2016-08-26,22:00 (01:30),Espanyol,2–2,Málaga,17304,RCDE Stadium,Jesús Gil,Match Report,
2,Sat,2016-08-27,18:15 (21:45),Eibar,1–0,Valencia,3576,Estadio Municipal de Ipurúa,Alejandro Hernández,Match Report,
2,Sat,2016-08-27,18:15 (21:45),Osasuna,0–2,Real Sociedad,16343,Estadio El Sadar,Alfonso Álvarez,Match Report,
2,Sat,2016-08-27,20:15 (23:45),Real Madrid,2–1,Celta Vigo,61568,Estadio Santiago Bernabéu,Ricardo de Burgos,Match Report,
2,Sat,2016-08-27,22:15 (01:45),Leganés,0–0,Atlético Madrid,10958,Estadio Municipal de Butarque,José Sánchez,Match Report,
2,Sun,2016-08-28,17:15 (21:45),Las Palmas,5–1,Granada,18837,Estadio de Gran Canaria,Daniel Ocón,Match Report,
