Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2,Sun,2016-08-28,18:15 (21:45),Alavés,0–0,Sporting Gijón,16236,Estadio de Mendizorroza,José Luis Munuera,Match Report,
2,Sun,2016-08-28,20:15 (23:45),Athletic Club,0–1,Barcelona,46635,San Mamés,Antonio Matéu Lahoz,Match Report,
2,Sun,2016-08-28,22:15 (01:45),Villarreal,0–0,Sevilla,18740,Estadio de la Cerámica,Carlos del Cerro,Match Report,
3,Fri,2016-09-09,20:45 (00:15),Real Sociedad,1–1,Espanyol,19739,Estadio Municipal de Anoeta,Ignacio Iglesias,Match Report,
3,Sat,2016-09-10,13:00 (16:30),Celta Vigo,0–4,Atlético Madrid,18064,Estadio de Balaídos,Santiago Jaime,Match Report,
3,Sat,2016-09-10,16:00 (19:30),Real Madrid,5–2,Osasuna,69567,Estadio Santiago Bernabéu,David Fernández,Match Report,
3,Sat,2016-09-10,18:15 (21:45),Málaga,0–2,Villarreal,21800,Estadio La Rosaleda,Alberto Undiano,Match Report,
3,Sat,2016-09-10,18:15 (21:45),Sevilla,2–1,Las Palmas,34060,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
3,Sat,2016-09-10,20:30 (00:00),Barcelona,1–2,Alavés,74237,Camp Nou,Mario Melero,Match Report,
3,Sun,2016-09-11,12:00 (15:30),Sporting Gijón,2–1,Leganés,22682,Estadio Municipal El Molinón,Iñaki Bikandi,Match Report,
3,Sun,2016-09-11,16:00 (19:30),Valencia,2–3,Betis,36789,Estadio de Mestalla,José González,Match Report,
3,Sun,2016-09-11,18:15 (21:45),Granada,1–2,Eibar,15883,Estadio Nuevo Los Cármenes,Daniel Trujillo,Match Report,
3,Sun,2016-09-11,20:30 (00:00),La Coruña,0–1,Athletic Club,23245,Estadio Municipal de Riazor,Javier Estrada,Match Report,
4,Fri,2016-09-16,20:45 (00:15),Betis,2–2,Granada,36090,Estadio Benito Villamarín,Carlos del Cerro,Match Report,
4,Sat,2016-09-17,13:00 (16:30),Leganés,1–5,Barcelona,10958,Estadio Municipal de Butarque,Ricardo de Burgos,Match Report,
4,Sat,2016-09-17,16:15 (19:45),Atlético Madrid,5–0,Sporting Gijón,45821,Estadio Vicente Calderón,Daniel Ocón,Match Report,
4,Sat,2016-09-17,18:30 (22:00),Eibar,1–1,Sevilla,4265,Estadio Municipal de Ipurúa,Alfonso Álvarez,Match Report,
4,Sat,2016-09-17,19:45 (00:15),Las Palmas,1–0,Málaga,18980,Estadio de Gran Canaria,José Sánchez,Match Report,
4,Sun,2016-09-18,12:00 (15:30),Osasuna,0–0,Celta Vigo,14854,Estadio El Sadar,Daniel Trujillo,Match Report,
4,Sun,2016-09-18,16:15 (19:45),Athletic Club,2–1,Valencia,40907,San Mamés,Jesús Gil,Match Report,
4,Sun,2016-09-18,18:30 (22:00),Villarreal,2–1,Real Sociedad,18692,Estadio de la Cerámica,Carlos Clos,Match Report,
4,Sun,2016-09-18,20:45 (00:15),Espanyol,0–2,Real Madrid,29484,RCDE Stadium,Alejandro Hernández,Match Report,
4,Mon,2016-09-19,20:45 (00:15),Alavés,0–0,La Coruña,16854,Estadio de Mendizorroza,Juan Martínez,Match Report,
5,Tue,2016-09-20,20:00 (23:30),Málaga,2–1,Eibar,30370,Estadio La Rosaleda,Ignacio Iglesias,Match Report,
5,Tue,2016-09-20,22:00 (01:30),Sevilla,1–0,Betis,39849,Estadio Ramón Sánchez Pizjuán,Javier Estrada,Match Report,
5,Wed,2016-09-21,20:00 (23:30),Celta Vigo,2–1,Sporting Gijón,14863,Estadio de Balaídos,Mario Melero,Match Report,
5,Wed,2016-09-21,20:00 (23:30),Real Madrid,1–1,Villarreal,67328,Estadio Santiago Bernabéu,José González,Match Report,
5,Wed,2016-09-21,22:00 (01:30),Real Sociedad,4–1,Las Palmas,10974,Estadio Municipal de Anoeta,José Luis Munuera,Match Report,
5,Wed,2016-09-21,22:00 (01:30),Granada,1–2,Athletic Club,14603,Estadio Nuevo Los Cármenes,Juan Martínez,Match Report,
5,Wed,2016-09-21,22:00 (01:30),Barcelona,1–1,Atlético Madrid,89421,Camp Nou,David Fernández,Match Report,
5,Thu,2016-09-22,20:00 (23:30),Osasuna,1–2,Espanyol,14631,Estadio El Sadar,Iñaki Bikandi,Match Report,
5,Thu,2016-09-22,20:00 (23:30),La Coruña,1–2,Leganés,19467,Estadio Municipal de Riazor,Alberto Undiano,Match Report,
5,Thu,2016-09-22,22:00 (01:30),Valencia,2–1,Alavés,32285,Estadio de Mestalla,Santiago Jaime,Match Report,
6,Fri,2016-09-23,20:45 (00:15),Betis,1–0,Málaga,37038,Estadio Benito Villamarín,Alfonso Álvarez,Match Report,
6,Sat,2016-09-24,13:00 (16:30),Eibar,2–0,Real Sociedad,4798,Estadio Municipal de Ipurúa,José Sánchez,Match Report,
6,Sat,2016-09-24,16:15 (19:45),Sporting Gijón,0–5,Barcelona,26098,Estadio Municipal El Molinón,Carlos del Cerro,Match Report,
6,Sat,2016-09-24,18:30 (22:00),Athletic Club,3–1,Sevilla,42415,San Mamés,Alejandro Hernández,Match Report,
6,Sat,2016-09-24,19:45 (00:15),Las Palmas,2–2,Real Madrid,22520,Estadio de Gran Canaria,Javier Estrada,Match Report,
6,Sun,2016-09-25,12:00 (15:30),Leganés,1–2,Valencia,10622,Estadio Municipal de Butarque,David Fernández,Match Report,
6,Sun,2016-09-25,16:15 (19:45),Atlético Madrid,1–0,La Coruña,45653,Estadio Vicente Calderón,Jesús Gil,Match Report,
6,Sun,2016-09-25,18:30 (22:00),Villarreal,3–1,Osasuna,17679,Estadio de la Cerámica,Daniel Ocón,Match Report,
6,Sun,2016-09-25,20:45 (00:15),Espanyol,0–2,Celta Vigo,17484,RCDE Stadium,Alberto Undiano,Match Report,
6,Mon,2016-09-26,20:45 (00:15),Alavés,3–1,Granada,16371,Estadio de Mendizorroza,José González,Match Report,
7,Fri,2016-09-30,20:45 (00:15),Real Sociedad,1–0,Betis,18310,Estadio Municipal de Anoeta,Daniel Trujillo,Match Report,
7,Sat,2016-10-01,13:00 (16:30),Granada,0–1,Leganés,15050,Estadio Nuevo Los Cármenes,Santiago Jaime,Match Report,
7,Sat,2016-10-01,16:15 (19:45),Sevilla,2–1,Alavés,32122,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
7,Sat,2016-10-01,18:30 (22:00),Osasuna,2–2,Las Palmas,15415,Estadio El Sadar,Ignacio Iglesias,Match Report,
7,Sat,2016-10-01,20:45 (00:15),La Coruña,2–1,Sporting Gijón,24957,Estadio Municipal de Riazor,Ricardo de Burgos,Match Report,
7,Sun,2016-10-02,12:00 (15:30),Valencia,0–2,Atlético Madrid,43276,Estadio de Mestalla,Carlos Clos,Match Report,
7,Sun,2016-10-02,16:15 (19:45),Real Madrid,1–1,Eibar,72103,Estadio Santiago Bernabéu,Juan Martínez,Match Report,
7,Sun,2016-10-02,18:30 (22:00),Málaga,2–1,Athletic Club,23080,Estadio La Rosaleda,Carlos del Cerro,Match Report,
7,Sun,2016-10-02,18:30 (22:00),Espanyol,0–0,Villarreal,20254,RCDE Stadium,José Luis Munuera,Match Report,
7,Sun,2016-10-02,20:45 (00:15),Celta Vigo,4–3,Barcelona,20901,Estadio de Balaídos,Iñaki Bikandi,Match Report,
8,Fri,2016-10-14,19:45 (00:15),Las Palmas,0–0,Espanyol,20575,Estadio de Gran Canaria,David Fernández,Match Report,
8,Sat,2016-10-15,13:00 (16:30),Leganés,2–3,Sevilla,10922,Estadio Municipal de Butarque,Daniel Ocón,Match Report,
8,Sat,2016-10-15,16:15 (19:45),Barcelona,4–0,La Coruña,83553,Camp Nou,José Sánchez,Match Report,
8,Sat,2016-10-15,18:30 (22:00),Atlético Madrid,7–1,Granada,48293,Estadio Vicente Calderón,Ricardo de Burgos,Match Report,
8,Sat,2016-10-15,20:45 (00:15),Betis,1–6,Real Madrid,41655,Estadio Benito Villamarín,Jesús Gil,Match Report,
8,Sun,2016-10-16,12:00 (15:30),Alavés,1–1,Málaga,17068,Estadio de Mendizorroza,Alejandro Hernández,Match Report,
8,Sun,2016-10-16,16:15 (19:45),Athletic Club,3–2,Real Sociedad,47256,San Mamés,José González,Match Report,
8,Sun,2016-10-16,18:30 (22:00),Sporting Gijón,1–2,Valencia,25309,Estadio Municipal El Molinón,José Luis Munuera,Match Report,
8,Sun,2016-10-16,20:45 (00:15),Villarreal,5–0,Celta Vigo,18152,Estadio de la Cerámica,Javier Estrada,Match Report,
8,Mon,2016-10-17,20:45 (00:15),Eibar,2–3,Osasuna,5250,Estadio Municipal de Ipurúa,Mario Melero,Match Report,
9,Fri,2016-10-21,20:45 (00:15),Osasuna,1–2,Betis,15044,Estadio El Sadar,Carlos del Cerro,Match Report,
9,Sat,2016-10-22,13:00 (16:30),Espanyol,3–3,Eibar,17330,RCDE Stadium,Jesús Gil,Match Report,
9,Sat,2016-10-22,16:15 (19:45),Valencia,2–3,Barcelona,46770,Estadio de Mestalla,Alberto Undiano,Match Report,
9,Sat,2016-10-22,18:30 (22:00),Real Sociedad,3–0,Alavés,24224,Estadio Municipal de Anoeta,Carlos Clos,Match Report,
9,Sat,2016-10-22,20:45 (00:15),Granada,0–0,Sporting Gijón,14622,Estadio Nuevo Los Cármenes,Iñaki Bikandi,Match Report,
9,Sun,2016-10-23,12:00 (15:30),Celta Vigo,4–1,La Coruña,21024,Estadio de Balaídos,Alfonso Álvarez,Match Report,
9,Sun,2016-10-23,16:15 (19:45),Sevilla,1–0,Atlético Madrid,34526,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
9,Sun,2016-10-23,18:30 (22:00),Villarreal,2–1,Las Palmas,18312,Estadio de la Cerámica,Santiago Jaime,Match Report,
9,Sun,2016-10-23,18:30 (22:00),Málaga,4–0,Leganés,18991,Estadio La Rosaleda,Daniel Trujillo,Match Report,
9,Sun,2016-10-23,20:45 (00:15),Real Madrid,2–1,Athletic Club,72910,Estadio Santiago Bernabéu,Ignacio Iglesias,Match Report,
10,Fri,2016-10-28,20:45 (00:15),Leganés,0–2,Real Sociedad,10922,Estadio Municipal de Butarque,Alejandro Hernández,Match Report,
10,Sat,2016-10-29,13:00 (16:30),Sporting Gijón,1–1,Sevilla,22803,Estadio Municipal El Molinón,Ignacio Iglesias,Match Report,
10,Sat,2016-10-29,16:15 (19:45),Alavés,1–4,Real Madrid,19840,Estadio de Mendizorroza,José Sánchez,Match Report,
10,Sat,2016-10-29,18:30 (22:00),Atlético Madrid,4–2,Málaga,47471,Estadio Vicente Calderón,Javier Estrada,Match Report,
10,Sat,2016-10-29,20:45 (00:15),Barcelona,1–0,Granada,82914,Camp Nou,Juan Martínez,Match Report,
10,Sun,2016-10-30,12:00 (16:30),Eibar,2–1,Villarreal,4678,Estadio Municipal de Ipurúa,David Fernández,Match Report,
10,Sun,2016-10-30,16:15 (20:45),Athletic Club,1–1,Osasuna,43696,San Mamés,José Luis Munuera,Match Report,
10,Sun,2016-10-30,18:30 (23:00),Betis,0–1,Espanyol,38282,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
10,Sun,2016-10-30,19:45 (01:15),Las Palmas,3–3,Celta Vigo,21194,Estadio de Gran Canaria,Mario Melero,Match Report,
10,Mon,2016-10-31,20:45 (01:15),La Coruña,1–1,Valencia,23492,Estadio Municipal de Riazor,José González,Match Report,
11,Fri,2016-11-04,20:45 (01:15),Málaga,3–2,Sporting Gijón,20316,Estadio La Rosaleda,Jesús Gil,Match Report,
11,Sat,2016-11-05,13:00 (17:30),Granada,1–1,La Coruña,13157,Estadio Nuevo Los Cármenes,Alberto Undiano,Match Report,
11,Sat,2016-11-05,16:15 (20:45),Real Sociedad,2–0,Atlético Madrid,24048,Estadio Municipal de Anoeta,Alfonso Álvarez,Match Report,
11,Sat,2016-11-05,18:30 (23:00),Osasuna,0–1,Alavés,15853,Estadio El Sadar,Daniel Ocón,Match Report,
11,Sat,2016-11-05,19:45 (01:15),Las Palmas,1–0,Eibar,19381,Estadio de Gran Canaria,Carlos del Cerro,Match Report,
11,Sun,2016-11-06,12:00 (16:30),Real Madrid,3–0,Leganés,74269,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
11,Sun,2016-11-06,16:15 (20:45),Celta Vigo,2–1,Valencia,18251,Estadio de Balaídos,Carlos Clos,Match Report,
11,Sun,2016-11-06,16:15 (20:45),Espanyol,0–0,Athletic Club,22835,RCDE Stadium,Daniel Trujillo,Match Report,
11,Sun,2016-11-06,18:30 (23:00),Villarreal,2–0,Betis,18826,Estadio de la Cerámica,Iñaki Bikandi,Match Report,
11,Sun,2016-11-06,20:45 (01:15),Sevilla,1–2,Barcelona,40812,Estadio Ramón Sánchez Pizjuán,Santiago Jaime,Match Report,
12,Fri,2016-11-18,20:45 (01:15),Betis,2–0,Las Palmas,34114,Estadio Benito Villamarín,José González,Match Report,
12,Sat,2016-11-19,13:00 (17:30),La Coruña,2–3,Sevilla,21096,Estadio Municipal de Riazor,Antonio Matéu Lahoz,Match Report,
12,Sat,2016-11-19,16:15 (20:45),Barcelona,0–0,Málaga,83439,Camp Nou,Ricardo de Burgos,Match Report,
12,Sat,2016-11-19,18:30 (23:00),Eibar,1–0,Celta Vigo,5503,Estadio Municipal de Ipurúa,José Luis Munuera,Match Report,
12,Sat,2016-11-19,20:45 (01:15),Atlético Madrid,0–3,Real Madrid,53741,Estadio Vicente Calderón,David Fernández,Match Report,
12,Sun,2016-11-20,12:00 (16:30),Alavés,0–1,Espanyol,19550,Estadio de Mendizorroza,Mario Melero,Match Report,
12,Sun,2016-11-20,16:15 (20:45),Valencia,1–1,Granada,34884,Estadio de Mestalla,Alejandro Hernández,Match Report,
12,Sun,2016-11-20,18:30 (23:00),Sporting Gijón,1–3,Real Sociedad,23439,Estadio Municipal El Molinón,Juan Martínez,Match Report,
12,Sun,2016-11-20,20:45 (01:15),Athletic Club,1–0,Villarreal,38245,San Mamés,José Sánchez,Match Report,
12,Mon,2016-11-21,20:45 (01:15),Leganés,2–0,Osasuna,8827,Estadio Municipal de Butarque,Ignacio Iglesias,Match Report,
13,Fri,2016-11-25,20:45 (01:15),Eibar,3–1,Betis,5150,Estadio Municipal de Ipurúa,Daniel Ocón,Match Report,
13,Sat,2016-11-26,13:00 (17:30),Málaga,4–3,La Coruña,12679,Estadio La Rosaleda,Iñaki Bikandi,Match Report,
13,Sat,2016-11-26,16:15 (20:45),Real Madrid,2–1,Sporting Gijón,67118,Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,
13,Sat,2016-11-26,18:30 (23:00),Espanyol,3–0,Leganés,17137,RCDE Stadium,Juan Martínez,Match Report,
13,Sat,2016-11-26,20:45 (01:15),Sevilla,2–1,Valencia,31901,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
13,Sun,2016-11-27,12:00 (16:30),Villarreal,0–2,Alavés,15629,Estadio de la Cerámica,Alberto Undiano,Match Report,
13,Sun,2016-11-27,16:15 (20:45),Osasuna,0–3,Atlético Madrid,16385,Estadio El Sadar,Antonio Matéu Lahoz,Match Report,
13,Sun,2016-11-27,18:30 (23:00),Celta Vigo,3–1,Granada,17000,Estadio de Balaídos,Daniel Trujillo,Match Report,
13,Sun,2016-11-27,20:45 (01:15),Real Sociedad,1–1,Barcelona,27756,Estadio Municipal de Anoeta,Jesús Gil,Match Report,
13,Mon,2016-11-28,19:45 (01:15),Las Palmas,3–1,Athletic Club,20717,Estadio de Gran Canaria,Alfonso Álvarez,Match Report,
14,Sat,2016-12-03,13:00 (17:30),Granada,2–1,Sevilla,15832,Estadio Nuevo Los Cármenes,José González,Match Report,
14,Sat,2016-12-03,16:15 (20:45),Barcelona,1–1,Real Madrid,98485,Camp Nou,Carlos Clos,Match Report,
14,Sat,2016-12-03,18:30 (23:00),Leganés,0–0,Villarreal,8526,Estadio Municipal de Butarque,Mario Melero,Match Report,
14,Sat,2016-12-03,20:45 (01:15),Atlético Madrid,0–0,Espanyol,39707,Estadio Vicente Calderón,Santiago Jaime,Match Report,
14,Sun,2016-12-04,12:00 (16:30),Betis,3–3,Celta Vigo,27241,Estadio Benito Villamarín,José Sánchez,Match Report,
14,Sun,2016-12-04,16:15 (20:45),Athletic Club,3–1,Eibar,42831,San Mamés,Javier Estrada,Match Report,
14,Sun,2016-12-04,18:30 (23:00),Alavés,1–1,Las Palmas,18724,Estadio de Mendizorroza,David Fernández,Match Report,
14,Sun,2016-12-04,18:30 (23:00),Sporting Gijón,3–1,Osasuna,25800,Estadio Municipal El Molinón,Ricardo de Burgos,Match Report,
14,Sun,2016-12-04,20:45 (01:15),Valencia,2–2,Málaga,23121,Estadio de Mestalla,Ignacio Iglesias,Match Report,
14,Mon,2016-12-05,20:45 (01:15),La Coruña,5–1,Real Sociedad,20548,Estadio Municipal de Riazor,José Luis Munuera,Match Report,
15,Fri,2016-12-09,20:45 (01:15),Málaga,1–1,Granada,20299,Estadio La Rosaleda,Alfonso Álvarez,Match Report,
15,Sat,2016-12-10,13:00 (17:30),Osasuna,0–3,Barcelona,17349,Estadio El Sadar,Juan Martínez,Match Report,
15,Sat,2016-12-10,16:15 (20:45),Real Sociedad,3–2,Valencia,22817,Estadio Municipal de Anoeta,Javier Estrada,Match Report,
15,Sat,2016-12-10,17:30 (23:00),Las Palmas,1–1,Leganés,19131,Estadio de Gran Canaria,Jesús Gil,Match Report,
15,Sat,2016-12-10,20:45 (01:15),Real Madrid,3–2,La Coruña,67174,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
15,Sun,2016-12-11,12:00 (16:30),Eibar,0–0,Alavés,5666,Estadio Municipal de Ipurúa,Daniel Trujillo,Match Report,
15,Sun,2016-12-11,16:15 (20:45),Celta Vigo,0–3,Sevilla,19350,Estadio de Balaídos,Alberto Undiano,Match Report,
15,Sun,2016-12-11,18:30 (23:00),Espanyol,2–1,Sporting Gijón,19353,RCDE Stadium,Carlos del Cerro,Match Report,
15,Sun,2016-12-11,20:45 (01:15),Betis,1–0,Athletic Club,34481,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
15,Mon,2016-12-12,20:45 (01:15),Villarreal,3–0,Atlético Madrid,19370,Estadio de la Cerámica,Alejandro Hernández,Match Report,
16,Fri,2016-12-16,20:45 (01:15),Alavés,1–0,Betis,18067,Estadio de Mendizorroza,Ignacio Iglesias,Match Report,
16,Sat,2016-12-17,13:00 (17:30),Sporting Gijón,1–3,Villarreal,19900,Estadio Municipal El Molinón,Iñaki Bikandi,Match Report,
16,Sat,2016-12-17,16:15 (20:45),Atlético Madrid,1–0,Las Palmas,39453,Estadio Vicente Calderón,Mario Melero,Match Report,
16,Sat,2016-12-17,18:30 (23:00),Granada,0–2,Real Sociedad,12746,Estadio Nuevo Los Cármenes,Daniel Ocón,Match Report,
16,Sat,2016-12-17,20:45 (01:15),Sevilla,4–1,Málaga,30324,Estadio Ramón Sánchez Pizjuán,Carlos Clos,Match Report,
16,Sun,2016-12-18,16:15 (20:45),Leganés,1–1,Eibar,9231,Estadio Municipal de Butarque,José González,Match Report,
16,Sun,2016-12-18,18:30 (23:00),La Coruña,2–0,Osasuna,22863,Estadio Municipal de Riazor,José Sánchez,Match Report,
16,Sun,2016-12-18,20:45 (01:15),Barcelona,4–1,Espanyol,79370,Camp Nou,Antonio Matéu Lahoz,Match Report,
16,Mon,2016-12-19,20:45 (01:15),Athletic Club,2–1,Celta Vigo,35808,San Mamés,Juan Martínez,Match Report,
17,Fri,2017-01-06,20:45 (01:15),Espanyol,1–1,La Coruña,16347,RCDE Stadium,Ricardo de Burgos,Match Report,
17,Sat,2017-01-07,13:00 (17:30),Real Madrid,5–0,Granada,71184,Estadio Santiago Bernabéu,Iñaki Bikandi,Match Report,
17,Sat,2017-01-07,16:15 (20:45),Eibar,0–2,Atlético Madrid,5810,Estadio Municipal de Ipurúa,Jesús Gil,Match Report,
17,Sat,2017-01-07,17:30 (23:00),Las Palmas,1–0,Sporting Gijón,21710,Estadio de Gran Canaria,José Luis Munuera,Match Report,
17,Sat,2017-01-07,20:45 (01:15),Real Sociedad,0–4,Sevilla,22374,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
17,Sun,2017-01-08,12:00 (16:30),Athletic Club,0–0,Alavés,42182,San Mamés,Carlos del Cerro,Match Report,
17,Sun,2017-01-08,16:15 (20:45),Betis,2–0,Leganés,36328,Estadio Benito Villamarín,Javier Estrada,Match Report,
17,Sun,2017-01-08,18:30 (23:00),Celta Vigo,3–1,Málaga,17890,Estadio de Balaídos,José González,Match Report,
17,Sun,2017-01-08,20:45 (01:15),Villarreal,1–1,Barcelona,22893,Estadio de la Cerámica,Ignacio Iglesias,Match Report,
17,Mon,2017-01-09,20:45 (01:15),Osasuna,3–3,Valencia,12160,Estadio El Sadar,Alfonso Álvarez,Match Report,
18,Sat,2017-01-14,13:00 (17:30),Leganés,0–0,Athletic Club,10922,Estadio Municipal de Butarque,Santiago Jaime,Match Report,
18,Sat,2017-01-14,16:15 (20:45),Barcelona,5–0,Las Palmas,81480,Camp Nou,Alberto Undiano,Match Report,
18,Sat,2017-01-14,18:30 (23:00),Atlético Madrid,1–0,Betis,46043,Estadio Vicente Calderón,Carlos Clos,Match Report,
18,Sat,2017-01-14,20:45 (01:15),La Coruña,0–0,Villarreal,19807,Estadio Municipal de Riazor,Daniel Ocón,Match Report,
18,Sun,2017-01-15,12:00 (16:30),Valencia,2–1,Espanyol,33932,Estadio de Mestalla,José Sánchez,Match Report,
18,Sun,2017-01-15,16:15 (20:45),Celta Vigo,1–0,Alavés,15723,Estadio de Balaídos,Mario Melero,Match Report,
18,Sun,2017-01-15,18:30 (23:00),Sporting Gijón,2–3,Eibar,20050,Estadio Municipal El Molinón,David Fernández,Match Report,
18,Sun,2017-01-15,18:30 (23:00),Granada,1–1,Osasuna,14328,Estadio Nuevo Los Cármenes,Daniel Trujillo,Match Report,
18,Sun,2017-01-15,20:45 (01:15),Sevilla,2–1,Real Madrid,40386,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,
18,Mon,2017-01-16,20:45 (01:15),Málaga,0–2,Real Sociedad,18057,Estadio La Rosaleda,Antonio Matéu Lahoz,Match Report,
19,Fri,2017-01-20,19:45 (01:15),Las Palmas,1–1,La Coruña,18051,Estadio de Gran Canaria,David Fernández,Match Report,
19,Sat,2017-01-21,13:00 (17:30),Espanyol,3–1,Granada,15184,RCDE Stadium,Carlos Clos,Match Report,
19,Sat,2017-01-21,16:15 (20:45),Real Madrid,2–1,Málaga,72687,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
19,Sat,2017-01-21,18:30 (23:00),Alavés,2–2,Leganés,19126,Estadio de Mendizorroza,José Luis Munuera,Match Report,
19,Sat,2017-01-21,20:45 (01:15),Villarreal,0–2,Valencia,17615,Estadio de la Cerámica,José González,Match Report,
19,Sun,2017-01-22,12:00 (16:30),Osasuna,3–4,Sevilla,15211,Estadio El Sadar,Javier Estrada,Match Report,
19,Sun,2017-01-22,16:15 (20:45),Athletic Club,2–2,Atlético Madrid,44263,San Mamés,Ignacio Iglesias,Match Report,
19,Sun,2017-01-22,18:30 (23:00),Real Sociedad,1–0,Celta Vigo,19845,Estadio Municipal de Anoeta,Carlos del Cerro,Match Report,
19,Sun,2017-01-22,18:30 (23:00),Betis,0–0,Sporting Gijón,35097,Estadio Benito Villamarín,Alberto Undiano,Match Report,
19,Sun,2017-01-22,20:45 (01:15),Eibar,0–4,Barcelona,6340,Estadio Municipal de Ipurúa,José Sánchez,Match Report,
20,Fri,2017-01-27,20:45 (01:15),Osasuna,1–1,Málaga,14262,Estadio El Sadar,Ricardo de Burgos,Match Report,
20,Sat,2017-01-28,13:00 (17:30),Villarreal,2–0,Granada,15152,Estadio de la Cerámica,Alfonso Álvarez,Match Report,
20,Sat,2017-01-28,16:15 (20:45),Alavés,0–0,Atlético Madrid,19152,Estadio de Mendizorroza,Daniel Ocón,Match Report,
20,Sat,2017-01-28,18:30 (23:00),Eibar,3–1,La Coruña,5617,Estadio Municipal de Ipurúa,Juan Martínez,Match Report,
20,Sat,2017-01-28,20:45 (01:15),Leganés,0–2,Celta Vigo,10123,Estadio Municipal de Butarque,Daniel Trujillo,Match Report,
20,Sun,2017-01-29,12:00 (16:30),Betis,1–1,Barcelona,43790,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
20,Sun,2017-01-29,16:15 (20:45),Espanyol,3–1,Sevilla,22974,RCDE Stadium,Iñaki Bikandi,Match Report,
20,Sun,2017-01-29,18:30 (23:00),Athletic Club,2–1,Sporting Gijón,41657,San Mamés,Carlos Clos,Match Report,
20,Sun,2017-01-29,20:45 (01:15),Real Madrid,3–0,Real Sociedad,66693,Estadio Santiago Bernabéu,Mario Melero,Match Report,
20,Mon,2017-01-30,19:45 (01:15),Las Palmas,3–1,Valencia,20427,Estadio de Gran Canaria,Santiago Jaime,Match Report,
21,Sat,2017-02-04,13:00 (17:30),Málaga,0–1,Espanyol,21546,Estadio La Rosaleda,Daniel Ocón,Match Report,
21,Sat,2017-02-04,16:15 (20:45),Barcelona,3–0,Athletic Club,83884,Camp Nou,José González,Match Report,
