Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sun,2019-01-06,20:45 (01:15),Getafe,1.4,1–2,2.0,Barcelona,14721,Coliseum Alfonso Pérez,Guillermo Cuadra,Match Report,
18,Mon,2019-01-07,21:00 (01:30),Celta Vigo,1.1,1–2,1.6,Athletic Club,13266,Estadio de Balaídos,Juan Martínez,Match Report,
19,Fri,2019-01-11,21:00 (01:30),Rayo Vallecano,2.0,4–2,1.2,Celta Vigo,11465,Estadio del Rayo Vallecano,Alberola Rojas,Match Report,
19,Sat,2019-01-12,13:00 (17:30),Leganés,1.9,1–0,0.5,Huesca,10341,Estadio Municipal de Butarque,Mario Melero,Match Report,
19,Sat,2019-01-12,16:15 (20:45),Valencia,2.3,1–1,0.1,Valladolid,36912,Estadio de Mestalla,Ignacio Iglesias,Match Report,
19,Sat,2019-01-12,18:30 (23:00),Girona,0.4,1–1,0.8,Alavés,10303,Estadi Municipal de Montilivi,José Sánchez,Match Report,
19,Sat,2019-01-12,20:45 (01:15),Villarreal,1.9,1–2,0.9,Getafe,13671,Estadio de la Cerámica,Javier Estrada,Match Report,
19,Sun,2019-01-13,12:00 (16:30),Atlético Madrid,2.3,1–0,0.7,Levante,57093,Estadio Wanda Metropolitano,Eduardo Prieto,Match Report,
19,Sun,2019-01-13,16:15 (20:45),Athletic Club,1.2,2–0,0.8,Sevilla,41342,San Mamés,Pablo González,Match Report,
19,Sun,2019-01-13,18:30 (23:00),Barcelona,1.5,3–0,0.8,Eibar,71039,Camp Nou,Jesús Gil,Match Report,
19,Sun,2019-01-13,20:45 (01:15),Betis,0.7,1–2,0.9,Real Madrid,54187,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
19,Mon,2019-01-14,21:00 (01:30),Real Sociedad,2.1,3–2,1.7,Espanyol,17301,Estadio Municipal de Anoeta,Carlos del Cerro,Match Report,
20,Fri,2019-01-18,21:00 (01:30),Getafe,2.0,4–0,0.3,Alavés,8748,Coliseum Alfonso Pérez,José Luis Munuera,Match Report,
20,Sat,2019-01-19,16:15 (20:45),Real Madrid,1.3,2–0,0.3,Sevilla,68232,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
20,Sat,2019-01-19,18:30 (23:00),Huesca,1.0,0–3,2.0,Atlético Madrid,7106,Estadio El Alcoraz,Guillermo Cuadra,Match Report,
20,Sat,2019-01-19,20:45 (01:15),Celta Vigo,0.6,1–2,1.5,Valencia,15668,Estadio de Balaídos,José González,Match Report,
20,Sun,2019-01-20,12:00 (16:30),Betis,1.6,3–2,0.9,Girona,47218,Estadio Benito Villamarín,Adrián Cordero,Match Report,
20,Sun,2019-01-20,16:15 (20:45),Villarreal,1.0,1–1,0.6,Athletic Club,17054,Estadio de la Cerámica,Alberto Undiano,Match Report,
20,Sun,2019-01-20,18:30 (23:00),Levante,1.2,2–0,1.2,Valladolid,19107,Estadio Ciudad de Valencia,Santiago Jaime,Match Report,
20,Sun,2019-01-20,18:30 (23:00),Rayo Vallecano,0.9,2–2,1.7,Real Sociedad,12562,Estadio del Rayo Vallecano,David Medié,Match Report,
20,Sun,2019-01-20,20:45 (01:15),Barcelona,1.6,3–1,0.6,Leganés,50670,Camp Nou,Ricardo de Burgos,Match Report,
20,Mon,2019-01-21,21:00 (01:30),Eibar,1.6,3–0,0.8,Espanyol,3592,Estadio Municipal de Ipurúa,Juan Martínez,Match Report,
21,Sat,2019-01-26,13:00 (17:30),Sevilla,4.8,5–0,0.6,Levante,34220,Estadio Ramón Sánchez Pizjuán,Alberola Rojas,Match Report,
21,Sat,2019-01-26,16:15 (20:45),Atlético Madrid,1.1,2–0,0.2,Getafe,55709,Estadio Wanda Metropolitano,Ignacio Iglesias,Match Report,
21,Sat,2019-01-26,18:30 (23:00),Leganés,0.7,2–2,0.3,Eibar,9341,Estadio Municipal de Butarque,Alejandro Hernández,Match Report,
21,Sat,2019-01-26,20:45 (01:15),Valencia,1.7,3–0,0.7,Villarreal,37685,Estadio de Mestalla,Carlos del Cerro,Match Report,
21,Sun,2019-01-27,12:00 (16:30),Valladolid,2.5,2–1,0.9,Celta Vigo,18416,Estadio Municipal José Zorrilla,José Sánchez,Match Report,
21,Sun,2019-01-27,16:15 (20:45),Girona,1.2,0–2,2.3,Barcelona,14021,Estadi Municipal de Montilivi,Pablo González,Match Report,
21,Sun,2019-01-27,18:30 (23:00),Athletic Club,0.7,1–0,0.3,Betis,40282,San Mamés,Javier Estrada,Match Report,
21,Sun,2019-01-27,18:30 (23:00),Real Sociedad,0.6,0–0,0.6,Huesca,21252,Estadio Municipal de Anoeta,Eduardo Prieto,Match Report,
21,Sun,2019-01-27,20:45 (01:15),Espanyol,0.9,2–4,2.0,Real Madrid,21215,RCDE Stadium,Jesús Gil,Match Report,
21,Mon,2019-01-28,21:00 (01:30),Alavés,1.0,0–1,0.7,Rayo Vallecano,13982,Estadio de Mendizorroza,Mario Melero,Match Report,
22,Fri,2019-02-01,21:00 (01:30),Huesca,1.2,4–0,0.5,Valladolid,6052,Estadio El Alcoraz,José Luis Munuera,Match Report,
22,Sat,2019-02-02,13:00 (17:30),Levante,0.8,0–0,0.3,Getafe,18437,Estadio Ciudad de Valencia,Adrián Cordero,Match Report,
22,Sat,2019-02-02,16:15 (20:45),Real Sociedad,1.5,2–1,1.2,Athletic Club,27073,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
22,Sat,2019-02-02,18:30 (23:00),Barcelona,1.8,2–2,2.9,Valencia,76789,Camp Nou,Alberto Undiano,Match Report,
22,Sat,2019-02-02,20:45 (01:15),Celta Vigo,0.7,1–0,0.7,Sevilla,17503,Estadio de Balaídos,Ricardo de Burgos,Match Report,
22,Sun,2019-02-03,12:00 (16:30),Villarreal,2.0,2–2,1.2,Espanyol,15476,Estadio de la Cerámica,Guillermo Cuadra,Match Report,
22,Sun,2019-02-03,16:15 (20:45),Betis,1.0,1–0,0.7,Atlético Madrid,50864,Estadio Benito Villamarín,David Medié,Match Report,
22,Sun,2019-02-03,18:30 (23:00),Eibar,1.9,3–0,0.3,Girona,4419,Estadio Municipal de Ipurúa,José González,Match Report,
22,Sun,2019-02-03,20:45 (01:15),Real Madrid,2.3,3–0,0.3,Alavés,53132,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
22,Mon,2019-02-04,21:00 (01:30),Rayo Vallecano,1.2,1–2,0.7,Leganés,11435,Estadio del Rayo Vallecano,Juan Martínez,Match Report,
23,Fri,2019-02-08,21:00 (01:30),Valladolid,0.7,0–0,1.0,Villarreal,16842,Estadio Municipal José Zorrilla,Alejandro Hernández,Match Report,
23,Sat,2019-02-09,13:00 (17:30),Getafe,3.1,3–1,0.7,Celta Vigo,9918,Coliseum Alfonso Pérez,Pablo González,Match Report,
23,Sat,2019-02-09,16:15 (20:45),Atlético Madrid,0.9,1–3,1.6,Real Madrid,67752,Estadio Wanda Metropolitano,Javier Estrada,Match Report,
23,Sat,2019-02-09,18:30 (23:00),Espanyol,2.0,2–1,0.7,Rayo Vallecano,22104,RCDE Stadium,Eduardo Prieto,Match Report,
23,Sat,2019-02-09,20:45 (01:15),Girona,1.0,0–2,0.5,Huesca,10662,Estadi Municipal de Montilivi,Adrián Cordero,Match Report,
23,Sun,2019-02-10,12:00 (16:30),Leganés,1.7,3–0,0.2,Betis,11381,Estadio Municipal de Butarque,Alberola Rojas,Match Report,
23,Sun,2019-02-10,16:15 (20:45),Valencia,1.0,0–0,0.6,Real Sociedad,38885,Estadio de Mestalla,Mario Melero,Match Report,
23,Sun,2019-02-10,18:30 (23:00),Sevilla,1.3,2–2,1.2,Eibar,36343,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias,Match Report,
23,Sun,2019-02-10,20:45 (01:15),Athletic Club,1.4,0–0,0.9,Barcelona,47557,San Mamés,Carlos del Cerro,Match Report,
23,Mon,2019-02-11,21:00 (01:30),Alavés,1.7,2–0,0.2,Levante,13691,Estadio de Mendizorroza,Alberto Undiano,Match Report,
24,Fri,2019-02-15,21:00 (01:30),Eibar,1.6,2–2,1.3,Getafe,4449,Estadio Municipal de Ipurúa,David Medié,Match Report,
24,Sat,2019-02-16,13:00 (17:30),Celta Vigo,1.6,1–4,2.3,Levante,15479,Estadio de Balaídos,Santiago Jaime,Match Report,
24,Sat,2019-02-16,16:15 (20:45),Rayo Vallecano,0.6,0–1,0.2,Atlético Madrid,13880,Estadio del Rayo Vallecano,Jesús Gil,Match Report,
24,Sat,2019-02-16,18:30 (23:00),Real Sociedad,1.5,3–0,0.4,Leganés,22997,Estadio Municipal de Anoeta,José Luis Munuera,Match Report,
24,Sat,2019-02-16,20:45 (01:15),Barcelona,3.5,1–0,0.4,Valladolid,67435,Camp Nou,Juan Martínez,Match Report,
24,Sun,2019-02-17,12:00 (16:30),Real Madrid,1.3,1–2,2.1,Girona,68099,Estadio Santiago Bernabéu,Guillermo Cuadra,Match Report,
24,Sun,2019-02-17,16:15 (20:45),Valencia,2.0,0–0,0.4,Espanyol,39564,Estadio de Mestalla,Ricardo de Burgos,Match Report,
24,Sun,2019-02-17,18:30 (23:00),Villarreal,1.5,3–0,1.7,Sevilla,17402,Estadio de la Cerámica,José González,Match Report,
24,Sun,2019-02-17,20:45 (01:15),Betis,2.4,1–1,0.5,Alavés,43455,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
24,Mon,2019-02-18,21:00 (01:30),Huesca,1.0,0–1,1.2,Athletic Club,6729,Estadio El Alcoraz,José Sánchez,Match Report,
25,Fri,2019-02-22,21:00 (01:30),Espanyol,0.6,1–1,1.0,Huesca,20078,RCDE Stadium,Alejandro Hernández,Match Report,
25,Sat,2019-02-23,13:00 (17:30),Getafe,1.5,2–1,0.4,Rayo Vallecano,11207,Coliseum Alfonso Pérez,Alberola Rojas,Match Report,
25,Sat,2019-02-23,16:15 (20:45),Sevilla,1.1,2–4,1.7,Barcelona,40661,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
25,Sat,2019-02-23,18:30 (23:00),Alavés,1.1,0–0,0.6,Celta Vigo,18882,Estadio de Mendizorroza,Carlos del Cerro,Match Report,
25,Sat,2019-02-23,20:45 (01:15),Athletic Club,1.5,1–0,0.7,Eibar,43363,San Mamés,Mario Melero,Match Report,
25,Sun,2019-02-24,12:00 (16:30),Leganés,1.7,1–1,0.5,Valencia,11425,Estadio Municipal de Butarque,Javier Estrada,Match Report,
25,Sun,2019-02-24,16:15 (20:45),Atlético Madrid,1.4,2–0,0.9,Villarreal,59114,Estadio Wanda Metropolitano,Alberto Undiano,Match Report,
25,Sun,2019-02-24,18:30 (23:00),Valladolid,0.6,0–2,0.9,Betis,20125,Estadio Municipal José Zorrilla,Pablo González,Match Report,
25,Sun,2019-02-24,20:45 (01:15),Levante,1.2,1–2,2.5,Real Madrid,23018,Estadio Ciudad de Valencia,Ignacio Iglesias,Match Report,
25,Mon,2019-02-25,21:00 (01:30),Girona,0.6,0–0,0.7,Real Sociedad,10170,Estadi Municipal de Montilivi,Eduardo Prieto,Match Report,
26,Fri,2019-03-01,21:00 (01:30),Rayo Vallecano,0.7,0–2,1.4,Girona,12087,Estadio del Rayo Vallecano,Santiago Jaime,Match Report,
26,Sat,2019-03-02,13:00 (17:30),Espanyol,2.8,3–1,1.5,Valladolid,20467,RCDE Stadium,Adrián Cordero,Match Report,
26,Sat,2019-03-02,16:15 (20:45),Villarreal,1.2,1–2,1.5,Alavés,15488,Estadio de la Cerámica,José Luis Munuera,Match Report,
26,Sat,2019-03-02,18:30 (23:00),Huesca,0.6,2–1,2.1,Sevilla,6818,Estadio El Alcoraz,Ricardo de Burgos,Match Report,
26,Sat,2019-03-02,20:45 (01:15),Real Madrid,1.1,0–1,1.6,Barcelona,78921,Estadio Santiago Bernabéu,Alberto Undiano,Match Report,
26,Sun,2019-03-03,12:00 (16:30),Eibar,2.3,1–0,0.9,Celta Vigo,4682,Estadio Municipal de Ipurúa,Guillermo Cuadra,Match Report,
26,Sun,2019-03-03,16:15 (20:45),Betis,0.8,1–2,1.3,Getafe,46657,Estadio Benito Villamarín,Juan Martínez,Match Report,
26,Sun,2019-03-03,18:30 (23:00),Real Sociedad,0.9,0–2,2.0,Atlético Madrid,26004,Estadio Municipal de Anoeta,José González,Match Report,
26,Sun,2019-03-03,20:45 (01:15),Valencia,1.3,2–0,0.3,Athletic Club,39041,Estadio de Mestalla,David Medié,Match Report,
26,Mon,2019-03-04,21:00 (01:30),Leganés,1.4,1–0,1.5,Levante,9758,Estadio Municipal de Butarque,Jesús Gil,Match Report,
27,Fri,2019-03-08,21:00 (01:30),Athletic Club,0.7,1–1,0.4,Espanyol,38453,San Mamés,Pablo González,Match Report,
27,Sat,2019-03-09,13:00 (17:30),Alavés,1.8,1–1,2.0,Eibar,18793,Estadio de Mendizorroza,Alberola Rojas,Match Report,
27,Sat,2019-03-09,16:15 (20:45),Atlético Madrid,1.3,1–0,0.1,Leganés,58321,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,Match Report,
27,Sat,2019-03-09,18:30 (23:00),Barcelona,2.9,3–1,0.3,Rayo Vallecano,74158,Camp Nou,Mario Melero,Match Report,
27,Sat,2019-03-09,20:45 (01:15),Getafe,1.6,2–1,0.7,Huesca,10882,Coliseum Alfonso Pérez,Eduardo Prieto,Match Report,
27,Sun,2019-03-10,12:00 (16:30),Celta Vigo,0.5,0–1,1.2,Betis,18005,Estadio de Balaídos,Javier Estrada,Match Report,
27,Sun,2019-03-10,16:15 (20:45),Girona,1.9,2–3,1.0,Valencia,11502,Estadi Municipal de Montilivi,Carlos del Cerro,Match Report,
27,Sun,2019-03-10,18:30 (23:00),Sevilla,2.4,5–2,1.1,Real Sociedad,35813,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias,Match Report,
27,Sun,2019-03-10,18:30 (23:00),Levante,1.0,0–2,0.8,Villarreal,20149,Estadio Ciudad de Valencia,José Sánchez,Match Report,
27,Sun,2019-03-10,20:45 (01:15),Valladolid,2.3,1–4,2.7,Real Madrid,21914,Estadio Municipal José Zorrilla,Jesús Gil,Match Report,
28,Fri,2019-03-15,21:00 (01:30),Real Sociedad,2.0,1–1,0.8,Levante,20605,Estadio Municipal de Anoeta,Adrián Cordero,Match Report,
28,Sat,2019-03-16,13:00 (17:30),Huesca,1.5,1–3,2.1,Alavés,6811,Estadio El Alcoraz,Alberto Undiano,Match Report,
28,Sat,2019-03-16,16:15 (20:45),Real Madrid,2.3,2–0,0.4,Celta Vigo,65054,Estadio Santiago Bernabéu,Juan Martínez,Match Report,
28,Sat,2019-03-16,18:30 (23:00),Athletic Club,1.1,2–0,0.6,Atlético Madrid,39659,San Mamés,Santiago Jaime,Match Report,
28,Sat,2019-03-16,20:45 (01:15),Leganés,0.5,0–2,1.3,Girona,9873,Estadio Municipal de Butarque,José Luis Munuera,Match Report,
28,Sun,2019-03-17,12:00 (16:30),Eibar,1.4,1–2,2.0,Valladolid,4508,Estadio Municipal de Ipurúa,David Medié,Match Report,
28,Sun,2019-03-17,16:15 (20:45),Espanyol,0.8,0–1,1.2,Sevilla,20219,RCDE Stadium,Guillermo Cuadra,Match Report,
28,Sun,2019-03-17,18:30 (23:00),Villarreal,2.1,3–1,0.2,Rayo Vallecano,17117,Estadio de la Cerámica,José González,Match Report,
28,Sun,2019-03-17,18:30 (23:00),Valencia,0.6,0–0,0.3,Getafe,41778,Estadio de Mestalla,José Sánchez,Match Report,
28,Sun,2019-03-17,20:45 (01:15),Betis,1.0,1–4,2.9,Barcelona,54172,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
29,Fri,2019-03-29,21:00 (01:30),Girona,0.3,1–2,0.7,Athletic Club,10652,Estadi Municipal de Montilivi,José Sánchez,Match Report,
29,Sat,2019-03-30,13:00 (17:30),Getafe,0.5,0–2,1.2,Leganés,12705,Coliseum Alfonso Pérez,Pablo González,Match Report,
29,Sat,2019-03-30,16:15 (20:45),Barcelona,1.1,2–0,0.2,Espanyol,92795,Camp Nou,Carlos del Cerro,Match Report,
29,Sat,2019-03-30,18:30 (23:00),Celta Vigo,1.5,3–2,2.0,Villarreal,22315,Estadio de Balaídos,Jesús Gil,Match Report,
29,Sat,2019-03-30,20:45 (01:15),Alavés,0.7,0–4,1.5,Atlético Madrid,19117,Estadio de Mendizorroza,Mario Melero,Match Report,
29,Sun,2019-03-31,12:00 (15:30),Levante,1.0,2–2,1.7,Eibar,16179,Estadio Ciudad de Valencia,Eduardo Prieto,Match Report,
29,Sun,2019-03-31,14:00 (17:30),Rayo Vallecano,2.2,1–1,0.5,Betis,12310,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Match Report,
29,Sun,2019-03-31,16:15 (19:45),Sevilla,1.1,0–1,0.9,Valencia,38450,Estadio Ramón Sánchez Pizjuán,José González,Match Report,
29,Sun,2019-03-31,18:30 (22:00),Valladolid,1.2,1–1,0.4,Real Sociedad,18775,Estadio Municipal José Zorrilla,Alberola Rojas,Match Report,
29,Sun,2019-03-31,20:45 (00:15),Real Madrid,3.7,3–2,1.6,Huesca,49269,Estadio Santiago Bernabéu,Javier Estrada,Match Report,
30,Tue,2019-04-02,19:30 (23:00),Atlético Madrid,2.5,2–0,0.4,Girona,40863,Estadio Wanda Metropolitano,Ignacio Iglesias,Match Report,
30,Tue,2019-04-02,20:30 (00:00),Espanyol,1.5,1–1,1.3,Getafe,16322,RCDE Stadium,Ricardo de Burgos,Match Report,
30,Tue,2019-04-02,21:30 (01:00),Villarreal,2.8,4–4,2.4,Barcelona,19515,Estadio de la Cerámica,Alejandro Hernández,Match Report,
30,Wed,2019-04-03,19:30 (23:00),Athletic Club,1.7,3–2,1.2,Levante,36450,San Mamés,José Luis Munuera,Match Report,
30,Wed,2019-04-03,20:30 (00:00),Eibar,1.4,2–1,0.7,Rayo Vallecano,3940,Estadio Municipal de Ipurúa,Alberto Undiano,Match Report,
30,Wed,2019-04-03,20:30 (00:00),Huesca,2.6,3–3,1.4,Celta Vigo,6552,Estadio El Alcoraz,Adrián Cordero,Match Report,
30,Wed,2019-04-03,21:30 (01:00),Valencia,1.5,2–1,0.7,Real Madrid,44274,Estadio de Mestalla,Santiago Jaime,Match Report,
30,Thu,2019-04-04,19:30 (23:00),Sevilla,1.4,2–0,0.4,Alavés,33212,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
30,Thu,2019-04-04,20:30 (00:00),Leganés,1.8,1–0,0.8,Valladolid,10185,Estadio Municipal de Butarque,Guillermo Cuadra,Match Report,
30,Thu,2019-04-04,21:30 (01:00),Real Sociedad,2.0,2–1,1.2,Betis,16417,Estadio Municipal de Anoeta,David Medié,Match Report,
31,Sat,2019-04-06,13:00 (16:30),Girona,1.7,1–2,0.4,Espanyol,11463,Estadi Municipal de Montilivi,Eduardo Prieto,Match Report,
31,Sat,2019-04-06,16:15 (19:45),Real Madrid,1.3,2–1,0.5,Eibar,50284,Estadio Santiago Bernabéu,Pablo González,Match Report,
31,Sat,2019-04-06,18:30 (22:00),Rayo Vallecano,1.8,2–0,2.1,Valencia,11320,Estadio del Rayo Vallecano,Alberola Rojas,Match Report,
31,Sat,2019-04-06,20:45 (00:15),Barcelona,2.2,2–0,0.5,Atlético Madrid,92453,Camp Nou,Jesús Gil,Match Report,
31,Sun,2019-04-07,12:00 (15:30),Alavés,0.9,1–1,0.8,Leganés,16783,Estadio de Mendizorroza,Antonio Matéu Lahoz,Match Report,
31,Sun,2019-04-07,14:00 (17:30),Getafe,0.7,1–0,0.5,Athletic Club,11617,Coliseum Alfonso Pérez,José González,Match Report,
31,Sun,2019-04-07,16:15 (19:45),Valladolid,0.8,0–2,1.7,Sevilla,17989,Estadio Municipal José Zorrilla,José Sánchez,Match Report,
31,Sun,2019-04-07,18:30 (22:00),Levante,2.6,2–2,0.8,Huesca,19824,Estadio Ciudad de Valencia,Carlos del Cerro,Match Report,
31,Sun,2019-04-07,18:30 (22:00),Celta Vigo,2.9,3–1,1.4,Real Sociedad,20519,Estadio de Balaídos,Mario Melero,Match Report,
31,Sun,2019-04-07,20:45 (00:15),Betis,2.4,2–1,1.5,Villarreal,28475,Estadio Benito Villamarín,Javier Estrada,Match Report,
32,Sat,2019-04-13,13:00 (16:30),Espanyol,0.5,2–1,0.8,Alavés,18143,RCDE Stadium,Ignacio Iglesias,Match Report,
32,Sat,2019-04-13,16:15 (19:45),Huesca,0.3,0–0,1.0,Barcelona,7332,Estadio El Alcoraz,Guillermo Cuadra,Match Report,
32,Sat,2019-04-13,18:30 (22:00),Atlético Madrid,1.5,2–0,0.9,Celta Vigo,55269,Estadio Wanda Metropolitano,Ricardo de Burgos,Match Report,
32,Sat,2019-04-13,20:45 (00:15),Sevilla,1.7,3–2,1.1,Betis,42855,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,
32,Sun,2019-04-14,12:00 (15:30),Valladolid,1.2,2–2,1.2,Getafe,16909,Estadio Municipal José Zorrilla,José Luis Munuera,Match Report,
32,Sun,2019-04-14,14:00 (17:30),Athletic Club,2.1,3–2,1.0,Rayo Vallecano,38732,San Mamés,Juan Martínez,Match Report,
32,Sun,2019-04-14,16:15 (19:45),Real Sociedad,0.6,1–1,1.0,Eibar,24308,Estadio Municipal de Anoeta,Santiago Jaime,Match Report,
32,Sun,2019-04-14,18:30 (22:00),Girona,0.8,0–1,1.4,Villarreal,11535,Estadi Municipal de Montilivi,Adrián Cordero,Match Report,
32,Sun,2019-04-14,20:45 (00:15),Valencia,2.4,3–1,0.2,Levante,42120,Estadio de Mestalla,Alberto Undiano,Match Report,
32,Mon,2019-04-15,21:00 (00:30),Leganés,0.4,1–1,1.1,Real Madrid,12118,Estadio Municipal de Butarque,David Medié,Match Report,
33,Fri,2019-04-19,21:00 (00:30),Alavés,1.5,2–2,1.5,Valladolid,13568,Estadio de Mendizorroza,Javier Estrada,Match Report,
33,Sat,2019-04-20,13:00 (16:30),Celta Vigo,1.3,2–1,0.7,Girona,20546,Estadio de Balaídos,Carlos del Cerro,Match Report,
33,Sat,2019-04-20,16:15 (19:45),Eibar,0.5,0–1,1.4,Atlético Madrid,4750,Estadio Municipal de Ipurúa,Alberola Rojas,Match Report,
33,Sat,2019-04-20,18:30 (22:00),Rayo Vallecano,1.0,0–0,0.5,Huesca,10542,Estadio del Rayo Vallecano,José González,Match Report,
33,Sat,2019-04-20,20:45 (00:15),Barcelona,1.0,2–1,1.0,Real Sociedad,75470,Camp Nou,Pablo González,Match Report,
33,Sun,2019-04-21,12:00 (15:30),Levante,1.7,2–2,1.3,Espanyol,16876,Estadio Ciudad de Valencia,Jesús Gil,Match Report,
33,Sun,2019-04-21,14:00 (17:30),Getafe,2.6,3–0,0.5,Sevilla,11495,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
33,Sun,2019-04-21,16:15 (19:45),Real Madrid,1.4,3–0,0.4,Athletic Club,59815,Estadio Santiago Bernabéu,Mario Melero,Match Report,
33,Sun,2019-04-21,18:30 (22:00),Villarreal,1.2,2–1,1.2,Leganés,14753,Estadio de la Cerámica,Eduardo Prieto,Match Report,
33,Sun,2019-04-21,20:45 (00:15),Betis,1.7,1–2,0.4,Valencia,42508,Estadio Benito Villamarín,José Sánchez,Match Report,
34,Tue,2019-04-23,19:30 (23:00),Huesca,1.2,2–0,0.6,Eibar,6157,Estadio El Alcoraz,David Medié,Match Report,
34,Tue,2019-04-23,20:30 (00:00),Valladolid,0.8,1–0,0.4,Girona,19106,Estadio Municipal José Zorrilla,Juan Martínez,Match Report,
34,Tue,2019-04-23,21:30 (01:00),Alavés,0.3,0–2,2.5,Barcelona,18735,Estadio de Mendizorroza,Adrián Cordero,Match Report,
34,Wed,2019-04-24,19:30 (23:00),Atlético Madrid,1.2,3–2,1.7,Valencia,43531,Estadio Wanda Metropolitano,Alejandro Hernández,Match Report,
34,Wed,2019-04-24,20:30 (00:00),Leganés,0.4,0–1,0.4,Athletic Club,4155,Estadio Municipal de Butarque,Ignacio Iglesias,Match Report,
34,Wed,2019-04-24,20:30 (00:00),Espanyol,1.4,1–1,2.4,Celta Vigo,15680,RCDE Stadium,Alberto Undiano,Match Report,
34,Wed,2019-04-24,21:30 (01:00),Levante,1.2,4–0,0.2,Betis,20394,Estadio Ciudad de Valencia,Santiago Jaime,Match Report,
34,Thu,2019-04-25,19:30 (23:00),Sevilla,3.6,5–0,0.6,Rayo Vallecano,31636,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,Match Report,
34,Thu,2019-04-25,20:30 (00:00),Real Sociedad,0.8,0–1,0.8,Villarreal,20060,Estadio Municipal de Anoeta,José Luis Munuera,Match Report,
34,Thu,2019-04-25,21:30 (01:00),Getafe,0.6,0–0,1.5,Real Madrid,13135,Coliseum Alfonso Pérez,Ricardo de Burgos,Match Report,
35,Sat,2019-04-27,13:00 (16:30),Athletic Club,1.0,1–1,1.5,Alavés,40402,San Mamés,Jesús Gil,Match Report,
35,Sat,2019-04-27,16:15 (19:45),Atlético Madrid,0.8,1–0,0.7,Valladolid,53123,Estadio Wanda Metropolitano,Mario Melero,Match Report,
35,Sat,2019-04-27,18:30 (22:00),Leganés,0.4,0–0,0.5,Celta Vigo,10324,Estadio Municipal de Butarque,Juan Martínez,Match Report,
35,Sat,2019-04-27,20:45 (00:15),Barcelona,2.1,1–0,0.7,Levante,91917,Camp Nou,Ricardo de Burgos,Match Report,
35,Sun,2019-04-28,12:00 (15:30),Valencia,0.5,0–1,0.9,Eibar,35393,Estadio de Mestalla,Javier Estrada,Match Report,
35,Sun,2019-04-28,14:00 (17:30),Girona,1.6,1–0,0.6,Sevilla,11281,Estadi Municipal de Montilivi,José González,Match Report,
35,Sun,2019-04-28,16:15 (19:45),Real Sociedad,2.1,2–1,0.8,Getafe,19386,Estadio Municipal de Anoeta,Eduardo Prieto,Match Report,
35,Sun,2019-04-28,18:30 (22:00),Villarreal,0.9,1–1,1.7,Huesca,17901,Estadio de la Cerámica,José Sánchez,Match Report,
35,Sun,2019-04-28,20:45 (00:15),Rayo Vallecano,1.5,1–0,0.5,Real Madrid,13273,Estadio del Rayo Vallecano,Pablo González,Match Report,
35,Mon,2019-04-29,21:00 (00:30),Betis,1.3,1–1,1.2,Espanyol,30561,Estadio Benito Villamarín,Carlos del Cerro,Match Report,
36,Fri,2019-05-03,21:00 (00:30),Sevilla,0.3,0–3,1.4,Leganés,32797,Estadio Ramón Sánchez Pizjuán,Alberto Undiano,Match Report,
36,Sat,2019-05-04,13:00 (16:30),Levante,1.9,4–1,1.3,Rayo Vallecano,19868,Estadio Ciudad de Valencia,Javier Estrada,Match Report,
36,Sat,2019-05-04,16:15 (19:45),Espanyol,1.3,3–0,1.2,Atlético Madrid,20207,RCDE Stadium,José Luis Munuera,Match Report,
36,Sat,2019-05-04,18:30 (22:00),Alavés,0.7,0–1,0.7,Real Sociedad,18509,Estadio de Mendizorroza,Alberola Rojas,Match Report,
36,Sat,2019-05-04,20:45 (00:15),Celta Vigo,1.8,2–0,0.5,Barcelona,22519,Estadio de Balaídos,José Sánchez,Match Report,
36,Sun,2019-05-05,12:00 (15:30),Getafe,1.8,2–0,0.5,Girona,10615,Coliseum Alfonso Pérez,Alejandro Hernández,Match Report,
36,Sun,2019-05-05,14:00 (17:30),Eibar,1.2,1–0,2.1,Betis,4725,Estadio Municipal de Ipurúa,Ignacio Iglesias,Match Report,
36,Sun,2019-05-05,16:15 (19:45),Real Madrid,2.9,3–2,0.8,Villarreal,46294,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
