Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,2018-09-22,13:00 (16:30),Rayo Vallecano,1.0,1–5,0.8,Alavés,12011,Estadio del Rayo Vallecano,Adrián Cordero,Match Report,
5,Sat,2018-09-22,16:15 (19:45),Eibar,1.2,1–0,0.2,Leganés,4456,Estadio Municipal de Ipurúa,Mario Melero,Match Report,
5,Sat,2018-09-22,16:15 (19:45),Celta Vigo,1.4,3–3,2.1,Valladolid,16552,Estadio de Balaídos,Eduardo Prieto,Match Report,
5,Sat,2018-09-22,18:30 (22:00),Getafe,0.8,0–2,1.0,Atlético Madrid,12756,Coliseum Alfonso Pérez,José Sánchez,Match Report,
5,Sat,2018-09-22,20:45 (00:15),Real Madrid,1.2,1–0,0.7,Espanyol,67658,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,Match Report,
5,Sun,2018-09-23,12:00 (15:30),Levante,2.6,2–6,2.9,Sevilla,21520,Estadio Ciudad de Valencia,Guillermo Cuadra,Match Report,
5,Sun,2018-09-23,16:15 (19:45),Villarreal,1.0,0–0,0.4,Valencia,18373,Estadio de la Cerámica,Santiago Jaime,Match Report,
5,Sun,2018-09-23,20:00 (23:30),Betis,1.4,2–2,0.8,Athletic Club,51093,Estadio Benito Villamarín,Javier Estrada,Match Report,
5,Sun,2018-09-23,20:45 (00:15),Barcelona,1.3,2–2,0.9,Girona,76055,Camp Nou,Jesús Gil,Match Report,
6,Tue,2018-09-25,20:00 (23:30),Espanyol,1.0,1–0,0.3,Eibar,13547,RCDE Stadium,José Luis Munuera,Match Report,
6,Tue,2018-09-25,21:00 (00:30),Real Sociedad,1.7,2–2,1.5,Rayo Vallecano,21510,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
6,Tue,2018-09-25,22:00 (01:30),Atlético Madrid,1.4,3–0,1.3,Huesca,47023,Estadio Wanda Metropolitano,Pablo González,Match Report,
6,Wed,2018-09-26,20:00 (23:30),Leganés,1.1,2–1,0.6,Barcelona,12231,Estadio Municipal de Butarque,Alberto Undiano,Match Report,
6,Wed,2018-09-26,20:00 (23:30),Athletic Club,0.9,0–3,2.7,Villarreal,39672,Estadio San Mamés,Carlos del Cerro,Match Report,
6,Wed,2018-09-26,22:00 (01:30),Valencia,2.1,1–1,0.4,Celta Vigo,35945,Estadio de Mestalla,Ricardo de Burgos,Match Report,
6,Wed,2018-09-26,22:00 (01:30),Sevilla,2.6,3–0,1.2,Real Madrid,40972,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,
6,Thu,2018-09-27,20:00 (23:30),Valladolid,1.3,2–1,0.6,Levante,16440,Estadio Municipal José Zorrilla,David Medié,Match Report,
6,Thu,2018-09-27,20:00 (23:30),Alavés,1.6,1–1,1.0,Getafe,18373,Estadio de Mendizorroza,Eduardo Prieto,Match Report,
6,Thu,2018-09-27,22:00 (01:30),Girona,0.8,0–1,1.6,Betis,11358,Estadi Municipal de Montilivi,José González,Match Report,
7,Fri,2018-09-28,21:00 (00:30),Rayo Vallecano,1.4,2–2,2.0,Espanyol,12100,Estadio del Rayo Vallecano,Alberola Rojas,Match Report,
7,Sat,2018-09-29,13:00 (16:30),Real Sociedad,1.2,0–1,1.2,Valencia,23577,Estadio Municipal de Anoeta,Jesús Gil,Match Report,
7,Sat,2018-09-29,16:15 (19:45),Barcelona,2.9,1–1,0.8,Athletic Club,78015,Camp Nou,Santiago Jaime,Match Report,
7,Sat,2018-09-29,18:30 (22:00),Eibar,0.9,1–3,1.6,Sevilla,5443,Estadio Municipal de Ipurúa,Javier Estrada,Match Report,
7,Sat,2018-09-29,20:45 (00:15),Real Madrid,1.1,0–0,0.7,Atlético Madrid,78642,Estadio Santiago Bernabéu,Juan Martínez,Match Report,
7,Sun,2018-09-30,12:00 (15:30),Huesca,1.5,1–1,1.4,Girona,6779,Estadio El Alcoraz,Adrián Cordero,Match Report,
